# comparison of f2 results from bk solution with parameters from fit1.
# comparison of f2 results from bk solution with parameters from fit1.
s	qsq2	x	f2
296	12	1e-05	0.11594740210930377
296	12	1.333521432163324e-05	0.10905036704028986
296	12	1.778279410038923e-05	0.10242472559540118
296	12	2.3713737056616554e-05	0.09606007323029404
296	12	3.1622776601683795e-05	0.08996743243972667
296	12	4.216965034285822e-05	0.08413282980558552
296	12	5.623413251903491e-05	0.07854642975335882
296	12	7.498942093324559e-05	0.07321304598019954
296	12	0.0001	0.06812028639172583
296	12	0.0001333521432163324	0.0632617859697519
296	12	0.00017782794100389227	0.05863504705477976
296	12	0.00023713737056616554	0.05422850028862915
296	12	0.00031622776601683794	0.050038762173419175
296	12	0.00042169650342858224	0.04605829389800147
296	12	0.0005623413251903491	0.042279792848507435
296	12	0.0007498942093324559	0.03869971956006648
296	12	0.001	0.03531013894768831
296	12	0.001333521432163324	0.032106506046314855
296	12	0.0017782794100389228	0.029083441896594016
296	12	0.0023713737056616554	0.02623589703646525
296	12	0.0031622776601683794	0.023557892289828103
296	12	0.004216965034285823	0.02104558966417558
296	12	0.005623413251903491	0.01869581093154345
296	12	0.007498942093324558	0.016505771085954
296	12	0.01	0.01447202690866061
296	20	1e-05	0.14952234323253438
296	20	1.333521432163324e-05	0.14012034024430736
296	20	1.778279410038923e-05	0.13112563181080475
296	20	2.3713737056616554e-05	0.12248253739338931
296	20	3.1622776601683795e-05	0.11431978607990143
296	20	4.216965034285822e-05	0.10650001667444613
296	20	5.623413251903491e-05	0.09901630652376893
296	20	7.498942093324559e-05	0.09196780171443845
296	20	0.0001	0.08519562881954368
296	20	0.0001333521432163324	0.07883392451784049
296	20	0.00017782794100389227	0.07274603714434219
296	20	0.00023713737056616554	0.06700827310727193
296	20	0.00031622776601683794	0.06155671270449559
296	20	0.00042169650342858224	0.05641735154022527
296	20	0.0005623413251903491	0.05157358582926459
296	20	0.0007498942093324559	0.04704365360788032
296	20	0.001	0.04274274528852148
296	20	0.001333521432163324	0.03870197792113288
296	20	0.0017782794100389228	0.03491255019237417
296	20	0.0023713737056616554	0.03136582325418237
296	20	0.0031622776601683794	0.028052146781755393
296	20	0.004216965034285823	0.02496444380314163
296	20	0.005623413251903491	0.02209657656248533
296	20	0.007498942093324558	0.019442995388911
296	20	0.01	0.016997640086319914
296	50	1e-05	0.22460762712605276
296	50	1.333521432163324e-05	0.2092377889413779
296	50	1.778279410038923e-05	0.19453076807724518
296	50	2.3713737056616554e-05	0.1807739150783256
296	50	3.1622776601683795e-05	0.1676518095813481
296	50	4.216965034285822e-05	0.155229537456099
296	50	5.623413251903491e-05	0.14348492232593724
296	50	7.498942093324559e-05	0.13239290597735318
296	50	0.0001	0.121920473157233
296	50	0.0001333521432163324	0.11205914208121051
296	50	0.00017782794100389227	0.10278186167166908
296	50	0.00023713737056616554	0.09406178952989319
296	50	0.00031622776601683794	0.08587539389105385
296	50	0.00042169650342858224	0.07812873842768468
296	50	0.0005623413251903491	0.07101953637840937
296	50	0.0007498942093324559	0.06430902169546304
296	50	0.001	0.05804907266460893
296	50	0.001333521432163324	0.05222143504941477
296	50	0.0017782794100389228	0.04670554482902632
296	50	0.0023713737056616554	0.04170023179607262
296	50	0.0031622776601683794	0.03715017355346017
296	50	0.004216965034285823	0.0328697631725522
296	50	0.005623413251903491	0.02893528058778224
296	50	0.007498942093324558	0.025333472747256242
296	50	0.01	0.022050707439922435
296	120	1e-05	0.3107572615747069
296	120	1.333521432163324e-05	0.28794341699320286
296	120	1.778279410038923e-05	0.266410255174486
296	120	2.3713737056616554e-05	0.2460881681220416
296	120	3.1622776601683795e-05	0.2268211029330568
296	120	4.216965034285822e-05	0.20886663877460676
296	120	5.623413251903491e-05	0.19216380421483079
296	120	7.498942093324559e-05	0.17634379917422574
296	120	0.0001	0.16152053477000636
296	120	0.0001333521432163324	0.14764610816756832
296	120	0.00017782794100389227	0.1346824521858104
296	120	0.00023713737056616554	0.1225827942794591
296	120	0.00031622776601683794	0.11130475894595086
296	120	0.00042169650342858224	0.10080881100758818
296	120	0.0005623413251903491	0.09105501899037903
296	120	0.0007498942093324559	0.08201090051368246
296	120	0.001	0.07363644340672329
296	120	0.001333521432163324	0.06589941967004691
296	120	0.0017782794100389228	0.05876814117572584
296	120	0.0023713737056616554	0.052210953663841916
296	120	0.0031622776601683794	0.046194143058953516
296	120	0.004216965034285823	0.040689204420822384
296	120	0.005623413251903491	0.03566942609967906
296	120	0.007498942093324558	0.031111016707095825
296	120	0.01	0.026989627300799682
