#: table_doi: 10.17182/hepdata.68951.v1/t4
#: name: Table 4
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 225$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table4.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 225.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],225.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
90.0,0.0136,0.712,1.51,-1.51,1.26,-1.26,1.22,-1.22,0.23,-0.23,-0.08,0.08,-0.05,0.05,-0.01,0.01,-0.89,0.89,0.07,-0.07,0.18,-0.18
90.0,0.0148,0.717,1.9,-1.9,2.1,-2.1,1.29,-1.29,0.88,-0.88,-0.13,0.13,0.06,-0.06,-0.01,0.01,0.3,-0.3,0.06,-0.06,0.41,-0.41
120.0,0.0028,1.246,6.08,-6.08,2.66,-2.66,2.01,-2.01,0.59,-0.59,-0.11,0.11,-0.02,0.02,-0.01,0.01,-1.08,1.08,0.12,-0.12,0.27,-0.27
120.0,0.0032,1.054,4.29,-4.29,1.94,-1.94,1.44,-1.44,0.47,-0.47,-0.1,0.1,-0.03,0.03,-0.01,0.01,0.08,-0.08,0.11,-0.11,0.2,-0.2
120.0,0.0034,1.185,5.29,-5.29,3.23,-3.23,1.26,-1.26,0.01,-0.01,-0.08,0.08,-0.11,0.11,-0.02,0.02,0.4,-0.4,0.07,-0.07,-0.06,0.06
120.0,0.0036,1.096,3.22,-3.22,1.82,-1.82,1.27,-1.27,0.41,-0.41,-0.09,0.09,-0.02,0.02,-0.01,0.01,0.36,-0.36,0.1,-0.1,0.15,-0.15
120.0,0.0042,1.044,3.68,-3.68,1.84,-1.84,1.22,-1.22,-0.06,0.06,-0.06,0.06,-0.06,0.06,-0.01,0.01,0.27,-0.27,0.07,-0.07,-0.15,0.15
120.0,0.0048,1.029,2.67,-2.67,1.8,-1.8,1.47,-1.47,0.72,-0.72,-0.12,0.12,0.01,-0.01,-0.01,0.01,0.7,-0.7,0.12,-0.12,0.28,-0.28
120.0,0.005,1.098,3.11,-3.11,1.67,-1.67,1.21,-1.21,-0.02,0.02,-0.05,0.05,-0.05,0.05,0.0,-0.0,0.19,-0.19,0.07,-0.07,-0.12,0.12
120.0,0.0059,0.993,2.7,-2.7,1.47,-1.47,1.2,-1.2,-0.04,0.04,-0.05,0.05,-0.05,0.05,0.0,-0.0,-0.13,0.13,0.07,-0.07,-0.13,0.13
120.0,0.0076,0.894,2.33,-2.33,1.15,-1.15,1.2,-1.2,-0.05,0.05,-0.04,0.04,-0.04,0.04,0.0,-0.0,-0.3,0.3,0.07,-0.07,-0.17,0.17
120.0,0.011,0.818,1.97,-1.97,1.44,-1.44,1.21,-1.21,-0.13,0.13,-0.04,0.04,-0.04,0.04,0.0,-0.0,-0.66,0.66,0.07,-0.07,-0.17,0.17
120.0,0.018,0.671,1.76,-1.76,1.54,-1.54,1.23,-1.23,0.0,-0.0,-0.06,0.06,-0.05,0.05,-0.01,0.01,-1.12,1.12,0.07,-0.07,0.06,-0.06
150.0,0.0035,1.227,7.11,-7.11,2.64,-2.64,2.19,-2.19,0.52,-0.52,-0.11,0.11,-0.02,0.02,-0.01,0.01,-1.38,1.38,0.14,-0.14,0.27,-0.27
150.0,0.0039,1.017,5.78,-5.78,1.88,-1.88,1.51,-1.51,0.62,-0.62,-0.11,0.11,0.0,-0.0,-0.01,0.01,0.11,-0.11,0.12,-0.12,0.29,-0.29
150.0,0.0045,1.001,4.99,-4.99,2.0,-2.0,1.42,-1.42,0.62,-0.62,-0.1,0.1,0.01,-0.01,-0.01,0.01,0.62,-0.62,0.11,-0.11,0.3,-0.3
150.0,0.006,1.048,2.57,-2.57,1.77,-1.77,1.45,-1.45,0.67,-0.67,-0.11,0.11,0.01,-0.01,-0.01,0.01,0.73,-0.73,0.1,-0.1,0.29,-0.29
150.0,0.008,0.964,2.58,-2.58,1.36,-1.36,1.5,-1.5,0.76,-0.76,-0.12,0.12,0.01,-0.01,-0.01,0.01,0.77,-0.77,0.12,-0.12,0.28,-0.28
150.0,0.013,0.823,3.33,-3.33,1.48,-1.48,1.49,-1.49,0.7,-0.7,-0.12,0.12,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.14,-0.14,0.26,-0.26
150.0,0.02,0.69,4.51,-4.51,2.16,-2.16,1.61,-1.61,0.82,-0.82,-0.13,0.13,0.07,-0.07,-0.01,0.01,0.79,-0.79,-0.19,0.19,0.24,-0.24
200.0,0.0046,1.117,9.08,-9.08,2.52,-2.52,2.37,-2.37,0.61,-0.61,-0.11,0.11,-0.03,0.03,-0.01,0.01,-1.58,1.58,0.1,-0.1,0.26,-0.26
200.0,0.0052,1.011,7.74,-7.74,1.92,-1.92,1.68,-1.68,0.63,-0.63,-0.11,0.11,-0.02,0.02,-0.01,0.01,-0.28,0.28,0.09,-0.09,0.31,-0.31
200.0,0.0061,0.989,6.49,-6.49,2.03,-2.03,1.43,-1.43,0.66,-0.66,-0.11,0.11,0.0,-0.0,-0.01,0.01,0.67,-0.67,0.12,-0.12,0.3,-0.3
200.0,0.008,0.947,3.4,-3.4,1.73,-1.73,1.44,-1.44,0.68,-0.68,-0.11,0.11,0.01,-0.01,-0.01,0.01,0.73,-0.73,0.1,-0.1,0.29,-0.29
200.0,0.013,0.831,3.13,-3.13,1.05,-1.05,1.48,-1.48,0.72,-0.72,-0.12,0.12,0.02,-0.02,-0.01,0.01,0.78,-0.78,0.11,-0.11,0.28,-0.28
200.0,0.02,0.638,3.52,-3.52,1.76,-1.76,1.5,-1.5,0.67,-0.67,-0.12,0.12,0.04,-0.04,-0.01,0.01,0.78,-0.78,0.16,-0.16,0.26,-0.26
200.0,0.032,0.523,4.04,-4.04,0.85,-0.85,1.44,-1.44,0.68,-0.68,-0.11,0.11,0.01,-0.01,-0.01,0.01,0.79,-0.79,-0.01,0.01,0.31,-0.31
200.0,0.05,0.523,4.13,-4.13,1.23,-1.23,1.42,-1.42,0.55,-0.55,-0.11,0.11,0.04,-0.04,-0.01,0.01,0.78,-0.78,-0.05,0.05,0.29,-0.29
200.0,0.08,0.452,4.76,-4.76,1.34,-1.34,1.5,-1.5,0.71,-0.71,-0.12,0.12,0.02,-0.02,-0.01,0.01,0.78,-0.78,-0.09,0.09,0.28,-0.28
200.0,0.13,0.352,5.13,-5.13,1.89,-1.89,1.54,-1.54,0.63,-0.63,-0.12,0.12,0.01,-0.01,-0.01,0.01,0.77,-0.77,-0.01,0.01,0.27,-0.27
200.0,0.18,0.319,5.82,-5.82,2.28,-2.28,1.65,-1.65,0.91,-0.91,-0.13,0.13,0.11,-0.11,0.0,-0.0,0.79,-0.79,-0.1,0.1,0.23,-0.23
200.0,0.4,0.178,7.99,-7.99,4.5,-4.5,2.84,-2.84,1.82,-1.82,-0.12,0.12,0.26,-0.26,0.01,-0.01,0.84,-0.84,0.12,-0.12,0.15,-0.15
250.0,0.0058,1.05,10.44,-10.44,2.45,-2.45,2.42,-2.42,0.5,-0.5,-0.1,0.1,-0.02,0.02,-0.02,0.02,-1.69,1.69,0.08,-0.08,0.27,-0.27
250.0,0.0066,1.029,8.85,-8.85,1.93,-1.93,1.78,-1.78,0.58,-0.58,-0.11,0.11,-0.01,0.01,-0.01,0.01,-0.52,0.52,0.13,-0.13,0.27,-0.27
250.0,0.0076,0.938,7.74,-7.74,2.03,-2.03,1.42,-1.42,0.59,-0.59,-0.1,0.1,0.01,-0.01,-0.01,0.01,0.65,-0.65,0.1,-0.1,0.3,-0.3
250.0,0.01,0.874,3.95,-3.95,1.73,-1.73,1.43,-1.43,0.65,-0.65,-0.11,0.11,0.01,-0.01,-0.01,0.01,0.74,-0.74,0.1,-0.1,0.29,-0.29
250.0,0.013,0.818,3.72,-3.72,1.29,-1.29,1.43,-1.43,0.64,-0.64,-0.11,0.11,0.02,-0.02,-0.01,0.01,0.76,-0.76,0.11,-0.11,0.29,-0.29
250.0,0.02,0.67,3.84,-3.84,1.04,-1.04,1.47,-1.47,0.7,-0.7,-0.12,0.12,0.02,-0.02,-0.01,0.01,0.78,-0.78,0.12,-0.12,0.28,-0.28
250.0,0.032,0.579,4.07,-4.07,1.3,-1.3,1.48,-1.48,0.76,-0.76,-0.12,0.12,-0.04,0.04,-0.01,0.01,0.79,-0.79,0.06,-0.06,0.32,-0.32
250.0,0.05,0.499,4.15,-4.15,1.26,-1.26,1.47,-1.47,0.72,-0.72,-0.12,0.12,-0.03,0.03,-0.01,0.01,0.79,-0.79,0.01,-0.01,0.33,-0.33
250.0,0.08,0.441,4.41,-4.41,1.33,-1.33,1.48,-1.48,0.75,-0.75,-0.12,0.12,-0.03,0.03,-0.01,0.01,0.79,-0.79,-0.14,0.14,0.33,-0.33
250.0,0.13,0.371,4.4,-4.4,1.39,-1.39,1.49,-1.49,0.62,-0.62,-0.11,0.11,-0.04,0.04,-0.01,0.01,0.78,-0.78,-0.12,0.12,0.34,-0.34
250.0,0.18,0.361,4.47,-4.47,2.06,-2.06,1.53,-1.53,0.93,-0.93,-0.12,0.12,0.01,-0.01,-0.01,0.01,0.8,-0.8,-0.2,0.2,0.32,-0.32
250.0,0.4,0.18,6.37,-6.37,4.91,-4.91,2.95,-2.95,2.18,-2.18,-0.12,0.12,0.23,-0.23,0.01,-0.01,0.85,-0.85,-0.07,0.07,0.22,-0.22
300.0,0.0069,0.872,13.29,-13.29,2.39,-2.39,2.69,-2.69,0.48,-0.48,-0.1,0.1,-0.02,0.02,-0.01,0.01,-2.12,2.12,0.08,-0.08,0.26,-0.26
300.0,0.0079,0.823,10.93,-10.93,1.96,-1.96,1.65,-1.65,0.53,-0.53,-0.1,0.1,0.01,-0.01,-0.01,0.01,-0.32,0.32,0.11,-0.11,0.29,-0.29
300.0,0.0091,0.835,9.58,-9.58,1.89,-1.89,1.42,-1.42,0.65,-0.65,-0.11,0.11,0.0,-0.0,-0.01,0.01,0.67,-0.67,0.09,-0.09,0.31,-0.31
300.0,0.0121,0.895,4.5,-4.5,1.73,-1.73,1.41,-1.41,0.6,-0.6,-0.1,0.1,0.02,-0.02,-0.01,0.01,0.76,-0.76,0.1,-0.1,0.3,-0.3
300.0,0.02,0.719,4.23,-4.23,1.04,-1.04,1.44,-1.44,0.63,-0.63,-0.11,0.11,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.12,-0.12,0.28,-0.28
300.0,0.032,0.62,4.53,-4.53,0.94,-0.94,1.42,-1.42,0.62,-0.62,-0.1,0.1,-0.02,0.02,-0.01,0.01,0.79,-0.79,0.1,-0.1,0.33,-0.33
300.0,0.05,0.519,4.74,-4.74,1.08,-1.08,1.46,-1.46,0.72,-0.72,-0.11,0.11,-0.03,0.03,-0.01,0.01,0.79,-0.79,0.05,-0.05,0.33,-0.33
300.0,0.08,0.458,4.93,-4.93,1.38,-1.38,1.5,-1.5,0.81,-0.81,-0.12,0.12,-0.03,0.03,-0.01,0.01,0.79,-0.79,-0.13,0.13,0.33,-0.33
300.0,0.13,0.367,5.09,-5.09,1.54,-1.54,1.54,-1.54,0.74,-0.74,-0.13,0.13,-0.06,0.06,-0.01,0.01,0.79,-0.79,-0.11,0.11,0.34,-0.34
300.0,0.18,0.335,5.22,-5.22,2.22,-2.22,1.57,-1.57,0.97,-0.97,-0.13,0.13,-0.02,0.02,-0.01,0.01,0.8,-0.8,-0.28,0.28,0.32,-0.32
300.0,0.4,0.168,7.39,-7.39,5.16,-5.16,2.96,-2.96,2.37,-2.37,-0.14,0.14,0.16,-0.16,0.01,-0.01,0.86,-0.86,-0.11,0.11,0.23,-0.23
400.0,0.0093,1.026,13.3,-13.3,2.43,-2.43,2.68,-2.68,0.56,-0.56,-0.11,0.11,-0.02,0.02,-0.01,0.01,-1.99,1.99,0.06,-0.06,0.25,-0.25
400.0,0.0105,1.071,10.14,-10.14,2.19,-2.19,1.49,-1.49,0.61,-0.61,-0.1,0.1,-0.01,0.01,-0.01,0.01,0.18,-0.18,0.11,-0.11,0.31,-0.31
400.0,0.0121,0.918,9.82,-9.82,1.88,-1.88,1.4,-1.4,0.55,-0.55,-0.1,0.1,0.02,-0.02,-0.01,0.01,0.69,-0.69,0.1,-0.1,0.31,-0.31
400.0,0.0161,0.806,5.45,-5.45,1.72,-1.72,1.42,-1.42,0.64,-0.64,-0.11,0.11,0.01,-0.01,-0.01,0.01,0.79,-0.79,0.09,-0.09,0.3,-0.3
400.0,0.032,0.621,5.08,-5.08,1.02,-1.02,1.45,-1.45,0.64,-0.64,-0.11,0.11,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.12,-0.12,0.28,-0.28
400.0,0.05,0.568,5.21,-5.21,1.03,-1.03,1.46,-1.46,0.74,-0.74,-0.11,0.11,-0.03,0.03,-0.01,0.01,0.79,-0.79,-0.07,0.07,0.33,-0.33
400.0,0.08,0.448,5.66,-5.66,0.99,-0.99,1.43,-1.43,0.66,-0.66,-0.11,0.11,-0.02,0.02,-0.01,0.01,0.79,-0.79,0.09,-0.09,0.33,-0.33
400.0,0.13,0.427,5.36,-5.36,1.24,-1.24,1.45,-1.45,0.61,-0.61,-0.11,0.11,-0.03,0.03,-0.01,0.01,0.79,-0.79,-0.13,0.13,0.34,-0.34
400.0,0.18,0.339,5.84,-5.84,1.69,-1.69,1.49,-1.49,0.83,-0.83,-0.12,0.12,-0.01,0.01,-0.01,0.01,0.8,-0.8,-0.21,0.21,0.33,-0.33
400.0,0.4,0.16,8.44,-8.44,4.64,-4.64,2.75,-2.75,2.1,-2.1,-0.13,0.13,0.19,-0.19,0.01,-0.01,0.85,-0.85,-0.26,0.26,0.25,-0.25
500.0,0.0116,1.006,14.56,-14.56,2.44,-2.44,2.5,-2.5,0.55,-0.55,-0.09,0.09,-0.02,0.02,-0.01,0.01,-1.44,1.44,0.05,-0.05,0.28,-0.28
500.0,0.0131,0.75,13.71,-13.71,2.06,-2.06,1.4,-1.4,0.55,-0.55,-0.1,0.1,0.02,-0.02,-0.01,0.01,0.66,-0.66,0.11,-0.11,0.31,-0.31
500.0,0.0152,0.686,12.27,-12.27,1.93,-1.93,1.4,-1.4,0.59,-0.59,-0.1,0.1,0.01,-0.01,-0.01,0.01,0.78,-0.78,0.13,-0.13,0.31,-0.31
500.0,0.0201,0.733,6.52,-6.52,1.71,-1.71,1.41,-1.41,0.61,-0.61,-0.1,0.1,0.02,-0.02,-0.01,0.01,0.79,-0.79,0.08,-0.08,0.31,-0.31
500.0,0.032,0.649,6.05,-6.05,0.97,-0.97,1.43,-1.43,0.64,-0.64,-0.11,0.11,0.02,-0.02,-0.01,0.01,0.78,-0.78,0.1,-0.1,0.29,-0.29
500.0,0.05,0.599,5.92,-5.92,1.29,-1.29,1.46,-1.46,0.6,-0.6,-0.11,0.11,0.05,-0.05,-0.01,0.01,0.78,-0.78,0.15,-0.15,0.27,-0.27
500.0,0.08,0.471,6.34,-6.34,1.03,-1.03,1.44,-1.44,0.7,-0.7,-0.11,0.11,-0.02,0.02,-0.01,0.01,0.79,-0.79,-0.04,0.04,0.34,-0.34
500.0,0.13,0.41,7.51,-7.51,1.35,-1.35,1.49,-1.49,0.72,-0.72,-0.12,0.12,-0.05,0.05,-0.01,0.01,0.79,-0.79,-0.09,0.09,0.34,-0.34
500.0,0.18,0.304,8.44,-8.44,1.49,-1.49,1.48,-1.48,0.68,-0.68,-0.11,0.11,-0.05,0.05,-0.01,0.01,0.79,-0.79,-0.13,0.13,0.35,-0.35
500.0,0.25,0.278,8.21,-8.21,1.88,-1.88,1.52,-1.52,0.9,-0.9,-0.12,0.12,-0.02,0.02,-0.01,0.01,0.8,-0.8,-0.21,0.21,0.33,-0.33
500.0,0.4,0.138,11.44,-11.44,4.14,-4.14,2.18,-2.18,1.66,-1.66,-0.12,0.12,0.12,-0.12,0.0,-0.0,0.84,-0.84,-0.52,0.52,0.3,-0.3
500.0,0.65,0.019,21.66,-21.66,6.96,-6.96,4.15,-4.15,3.47,-3.47,-0.14,0.14,0.32,-0.32,0.02,-0.02,0.9,-0.9,-0.28,0.28,0.18,-0.18
650.0,0.0151,0.804,19.43,-19.43,2.67,-2.67,1.66,-1.66,0.32,-0.32,-0.07,0.07,0.02,-0.02,-0.01,0.01,-0.38,0.38,0.13,-0.13,0.32,-0.32
650.0,0.0171,0.914,13.91,-13.91,2.02,-2.02,1.4,-1.4,0.58,-0.58,-0.1,0.1,0.01,-0.01,-0.01,0.01,0.68,-0.68,0.09,-0.09,0.32,-0.32
650.0,0.0197,0.905,12.02,-12.02,1.92,-1.92,1.41,-1.41,0.6,-0.6,-0.1,0.1,0.01,-0.01,-0.01,0.01,0.7,-0.7,0.09,-0.09,0.31,-0.31
650.0,0.0261,0.602,7.81,-7.81,1.78,-1.78,1.41,-1.41,0.6,-0.6,-0.1,0.1,0.02,-0.02,-0.01,0.01,0.78,-0.78,0.1,-0.1,0.3,-0.3
650.0,0.05,0.488,7.87,-7.87,1.12,-1.12,1.45,-1.45,0.66,-0.66,-0.11,0.11,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.12,-0.12,0.28,-0.28
650.0,0.08,0.451,7.78,-7.78,1.04,-1.04,1.44,-1.44,0.69,-0.69,-0.11,0.11,-0.03,0.03,-0.01,0.01,0.79,-0.79,0.06,-0.06,0.34,-0.34
650.0,0.13,0.374,9.33,-9.33,1.41,-1.41,1.45,-1.45,0.72,-0.72,-0.11,0.11,-0.02,0.02,-0.01,0.01,0.79,-0.79,-0.16,0.16,0.34,-0.34
650.0,0.18,0.339,9.52,-9.52,1.48,-1.48,1.47,-1.47,0.69,-0.69,-0.12,0.12,-0.04,0.04,-0.01,0.01,0.79,-0.79,-0.07,0.07,0.34,-0.34
650.0,0.25,0.252,10.12,-10.12,1.7,-1.7,1.44,-1.44,0.69,-0.69,-0.1,0.1,-0.04,0.04,-0.01,0.01,0.79,-0.79,0.06,-0.06,0.35,-0.35
650.0,0.4,0.201,10.92,-10.92,3.94,-3.94,2.05,-2.05,1.58,-1.58,-0.13,0.13,0.07,-0.07,0.0,-0.0,0.83,-0.83,-0.61,0.61,0.32,-0.32
650.0,0.65,0.027,21.0,-21.0,7.78,-7.78,4.11,-4.11,3.66,-3.66,-0.13,0.13,0.3,-0.3,0.02,-0.02,0.9,-0.9,-0.62,0.62,0.24,-0.24
800.0,0.0185,0.286,36.97,-36.97,3.94,-3.94,1.43,-1.43,0.62,-0.62,-0.1,0.1,0.0,-0.0,-0.01,0.01,0.51,-0.51,0.08,-0.08,0.32,-0.32
800.0,0.021,0.658,19.13,-19.13,2.27,-2.27,1.38,-1.38,0.51,-0.51,-0.09,0.09,0.02,-0.02,-0.01,0.01,0.78,-0.78,0.12,-0.12,0.32,-0.32
800.0,0.0242,0.656,15.94,-15.94,2.08,-2.08,1.38,-1.38,0.49,-0.49,-0.09,0.09,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.1,-0.1,0.31,-0.31
800.0,0.0322,0.61,8.63,-8.63,1.82,-1.82,1.39,-1.39,0.54,-0.54,-0.1,0.1,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.1,-0.1,0.31,-0.31
800.0,0.05,0.479,9.02,-9.02,1.23,-1.23,1.4,-1.4,0.55,-0.55,-0.1,0.1,0.04,-0.04,-0.01,0.01,0.78,-0.78,0.11,-0.11,0.3,-0.3
800.0,0.08,0.447,9.22,-9.22,1.31,-1.31,1.44,-1.44,0.65,-0.65,-0.11,0.11,0.03,-0.03,-0.01,0.01,0.78,-0.78,0.11,-0.11,0.28,-0.28
800.0,0.13,0.388,10.6,-10.6,1.43,-1.43,1.46,-1.46,0.74,-0.74,-0.11,0.11,-0.02,0.02,-0.01,0.01,0.79,-0.79,-0.18,0.18,0.35,-0.35
800.0,0.18,0.363,10.93,-10.93,1.46,-1.46,1.42,-1.42,0.62,-0.62,-0.1,0.1,-0.02,0.02,-0.01,0.01,0.79,-0.79,0.04,-0.04,0.34,-0.34
800.0,0.25,0.276,11.53,-11.53,1.74,-1.74,1.46,-1.46,0.72,-0.72,-0.11,0.11,-0.03,0.03,-0.01,0.01,0.79,-0.79,-0.22,0.22,0.35,-0.35
800.0,0.4,0.131,15.53,-15.53,3.53,-3.53,1.81,-1.81,1.23,-1.23,-0.11,0.11,0.09,-0.09,-0.01,0.01,0.82,-0.82,-0.53,0.53,0.33,-0.33
800.0,0.65,0.022,27.39,-27.39,7.13,-7.13,3.4,-3.4,2.79,-2.79,-0.11,0.11,0.26,-0.26,0.02,-0.02,0.88,-0.88,-0.5,0.5,0.27,-0.27

