#: table_doi: 10.17182/hepdata.68951.v1/t4
#: name: Table 4
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 225$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table4.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 225.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],225.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
8.5,0.000224,1.064,1.92,-1.92,2.4,-2.4,1.47,-1.47,2.14,-2.14,-0.22,0.22,-0.26,0.26,-0.05,0.05,-0.96,0.96,0.06,-0.06,0.64,-0.64
8.5,0.00024,1.195,3.52,-3.52,3.88,-3.88,1.65,-1.65,2.39,-2.39,-0.28,0.28,-0.25,0.25,-0.07,0.07,0.47,-0.47,0.05,-0.05,0.91,-0.91
8.5,0.000258,1.119,1.58,-1.58,1.9,-1.9,1.42,-1.42,1.54,-1.54,-0.21,0.21,-0.23,0.23,-0.04,0.04,-0.55,0.55,0.05,-0.05,0.56,-0.56
8.5,0.000299,1.188,4.2,-4.2,3.72,-3.72,1.39,-1.39,1.1,-1.1,-0.18,0.18,-0.08,0.08,-0.03,0.03,0.55,-0.55,0.05,-0.05,0.53,-0.53
8.5,0.000342,1.057,0.88,-0.88,1.7,-1.7,1.33,-1.33,0.97,-0.97,-0.17,0.17,-0.2,0.2,-0.04,0.04,-0.2,0.2,0.06,-0.06,0.44,-0.44
8.5,0.000433,1.151,4.88,-4.88,5.71,-5.71,1.51,-1.51,0.9,-0.9,-0.14,0.14,-0.06,0.06,-0.02,0.02,0.1,-0.1,0.06,-0.06,0.42,-0.42
8.5,0.000541,1.02,0.92,-0.92,1.73,-1.73,1.27,-1.27,0.73,-0.73,-0.12,0.12,0.03,-0.03,-0.01,0.01,0.4,-0.4,0.06,-0.06,0.37,-0.37
8.5,0.000838,0.943,1.01,-1.01,1.76,-1.76,1.31,-1.31,0.85,-0.85,-0.14,0.14,0.05,-0.05,-0.02,0.02,0.12,-0.12,0.06,-0.06,0.43,-0.43
8.5,0.0014,0.864,1.2,-1.2,1.83,-1.83,1.47,-1.47,0.75,-0.75,-0.15,0.15,0.06,-0.06,-0.03,0.03,-0.01,0.01,0.07,-0.07,0.45,-0.45
12.0,0.000278,1.162,3.84,-3.84,3.98,-3.98,2.47,-2.47,1.55,-1.55,-0.22,0.22,-0.42,0.42,-0.06,0.06,-5.29,5.29,0.06,-0.06,0.54,-0.54
12.0,0.000316,1.178,1.8,-1.8,2.2,-2.2,1.48,-1.48,1.88,-1.88,-0.23,0.23,-0.39,0.39,-0.06,0.06,-1.04,1.04,0.07,-0.07,0.66,-0.66
12.0,0.000343,1.166,2.7,-2.7,3.32,-3.32,1.54,-1.54,1.94,-1.94,-0.26,0.26,-0.23,0.23,-0.05,0.05,0.59,-0.59,0.05,-0.05,0.75,-0.75
12.0,0.000364,1.127,1.52,-1.52,1.86,-1.86,1.3,-1.3,1.41,-1.41,-0.18,0.18,-0.23,0.23,-0.03,0.03,-0.04,0.04,0.05,-0.05,0.52,-0.52
12.0,0.000423,1.235,2.44,-2.44,2.23,-2.23,1.36,-1.36,1.56,-1.56,-0.19,0.19,-0.1,0.1,-0.02,0.02,0.85,-0.85,0.06,-0.06,0.66,-0.66
12.0,0.000483,1.12,0.95,-0.95,1.52,-1.52,1.29,-1.29,1.1,-1.1,-0.15,0.15,-0.15,0.15,-0.02,0.02,0.14,-0.14,0.05,-0.05,0.45,-0.45
12.0,0.000592,1.142,3.46,-3.46,2.55,-2.55,1.35,-1.35,1.16,-1.16,-0.16,0.16,-0.04,0.04,-0.01,0.01,0.16,-0.16,0.06,-0.06,0.55,-0.55
12.0,0.000764,1.033,0.92,-0.92,1.61,-1.61,1.28,-1.28,0.95,-0.95,-0.14,0.14,0.04,-0.04,-0.01,0.01,0.14,-0.14,0.07,-0.07,0.44,-0.44
12.0,0.00118,0.979,0.93,-0.93,1.69,-1.69,1.3,-1.3,0.83,-0.83,-0.14,0.14,0.05,-0.05,-0.02,0.02,0.13,-0.13,0.06,-0.06,0.42,-0.42
12.0,0.00197,0.88,1.04,-1.04,1.71,-1.71,1.39,-1.39,1.04,-1.04,-0.16,0.16,0.06,-0.06,-0.03,0.03,-0.27,0.27,0.06,-0.06,0.48,-0.48
15.0,0.000348,1.243,3.86,-3.86,4.06,-4.06,2.02,-2.02,1.26,-1.26,-0.18,0.18,-0.36,0.36,-0.03,0.03,-3.58,3.58,0.06,-0.06,0.47,-0.47
15.0,0.000394,1.138,1.83,-1.83,2.09,-2.09,1.38,-1.38,1.32,-1.32,-0.19,0.19,-0.35,0.35,-0.05,0.05,-0.61,0.61,0.05,-0.05,0.47,-0.47
15.0,0.000422,1.191,2.51,-2.51,2.3,-2.3,1.43,-1.43,1.41,-1.41,-0.21,0.21,-0.19,0.19,-0.04,0.04,0.4,-0.4,0.06,-0.06,0.61,-0.61
15.0,0.000455,1.174,1.54,-1.54,1.62,-1.62,1.32,-1.32,1.37,-1.37,-0.2,0.2,-0.23,0.23,-0.03,0.03,-0.23,0.23,0.06,-0.06,0.52,-0.52
15.0,0.000529,1.254,1.89,-1.89,1.35,-1.35,1.32,-1.32,1.32,-1.32,-0.18,0.18,-0.1,0.1,-0.02,0.02,0.64,-0.64,0.06,-0.06,0.59,-0.59
15.0,0.000604,1.17,1.03,-1.03,1.18,-1.18,1.28,-1.28,1.15,-1.15,-0.17,0.17,-0.17,0.17,-0.03,0.03,0.14,-0.14,0.06,-0.06,0.51,-0.51
15.0,0.000763,1.168,2.14,-2.14,1.52,-1.52,1.33,-1.33,1.29,-1.29,-0.17,0.17,-0.06,0.06,-0.02,0.02,0.45,-0.45,0.05,-0.05,0.62,-0.62
15.0,0.000955,1.083,0.97,-0.97,1.38,-1.38,1.26,-1.26,1.08,-1.08,-0.14,0.14,0.02,-0.02,-0.01,0.01,0.3,-0.3,0.06,-0.06,0.46,-0.46
15.0,0.00148,0.943,0.97,-0.97,1.52,-1.52,1.28,-1.28,0.99,-0.99,-0.14,0.14,0.04,-0.04,-0.01,0.01,0.12,-0.12,0.06,-0.06,0.45,-0.45
20.0,0.000464,1.03,5.27,-5.27,4.21,-4.21,2.03,-2.03,1.64,-1.64,-0.24,0.24,-0.62,0.62,-0.06,0.06,-4.18,4.18,0.06,-0.06,0.54,-0.54
20.0,0.000526,1.214,2.26,-2.26,2.87,-2.87,1.39,-1.39,1.01,-1.01,-0.18,0.18,-0.36,0.36,-0.05,0.05,-1.1,1.1,0.06,-0.06,0.44,-0.44
20.0,0.000607,1.18,1.97,-1.97,2.39,-2.39,1.31,-1.31,0.77,-0.77,-0.13,0.13,-0.31,0.31,-0.03,0.03,-0.17,0.17,0.06,-0.06,0.36,-0.36
20.0,0.000805,1.171,1.06,-1.06,1.85,-1.85,1.35,-1.35,1.08,-1.08,-0.17,0.17,-0.13,0.13,-0.03,0.03,-0.13,0.13,0.05,-0.05,0.44,-0.44
20.0,0.00127,1.089,1.0,-1.0,1.84,-1.84,1.3,-1.3,0.93,-0.93,-0.13,0.13,0.06,-0.06,-0.02,0.02,0.27,-0.27,0.06,-0.06,0.4,-0.4
20.0,0.00197,0.986,1.02,-1.02,1.85,-1.85,1.28,-1.28,0.84,-0.84,-0.12,0.12,0.05,-0.05,-0.01,0.01,0.38,-0.38,0.06,-0.06,0.39,-0.39
20.0,0.00329,0.877,1.14,-1.14,1.87,-1.87,1.34,-1.34,1.03,-1.03,-0.14,0.14,0.06,-0.06,-0.01,0.01,0.15,-0.15,0.06,-0.06,0.43,-0.43
25.0,0.000616,1.211,2.42,-2.42,2.94,-2.94,1.41,-1.41,1.0,-1.0,-0.14,0.14,-0.46,0.46,-0.02,0.02,-0.69,0.69,0.05,-0.05,0.37,-0.37
25.0,0.000657,1.21,2.81,-2.81,2.8,-2.8,1.61,-1.61,1.03,-1.03,-0.19,0.19,-0.27,0.27,-0.06,0.06,-0.42,0.42,0.07,-0.07,0.48,-0.48
25.0,0.0007,1.251,2.42,-2.42,2.14,-2.14,1.34,-1.34,0.96,-0.96,-0.18,0.18,-0.17,0.17,-0.04,0.04,0.35,-0.35,0.06,-0.06,0.35,-0.35
25.0,0.000759,1.223,1.5,-1.5,1.44,-1.44,1.26,-1.26,0.83,-0.83,-0.14,0.14,-0.19,0.19,-0.02,0.02,0.33,-0.33,0.06,-0.06,0.39,-0.39
25.0,0.00088,1.237,1.68,-1.68,1.52,-1.52,1.27,-1.27,1.0,-1.0,-0.15,0.15,-0.09,0.09,-0.02,0.02,0.48,-0.48,0.06,-0.06,0.44,-0.44
25.0,0.00101,1.188,1.0,-1.0,1.09,-1.09,1.26,-1.26,1.04,-1.04,-0.16,0.16,-0.14,0.14,-0.02,0.02,0.2,-0.2,0.06,-0.06,0.47,-0.47
25.0,0.00127,1.146,1.52,-1.52,1.02,-1.02,1.3,-1.3,1.13,-1.13,-0.16,0.16,-0.06,0.06,-0.01,0.01,0.48,-0.48,0.06,-0.06,0.53,-0.53
25.0,0.00159,1.078,0.97,-0.97,1.04,-1.04,1.26,-1.26,1.06,-1.06,-0.14,0.14,0.0,-0.0,-0.02,0.02,0.18,-0.18,0.06,-0.06,0.5,-0.5
25.0,0.00247,0.989,0.94,-0.94,1.24,-1.24,1.28,-1.28,1.08,-1.08,-0.14,0.14,0.01,-0.01,-0.01,0.01,0.16,-0.16,0.06,-0.06,0.5,-0.5
25.0,0.00411,0.852,1.03,-1.03,1.28,-1.28,1.29,-1.29,1.07,-1.07,-0.14,0.14,0.01,-0.01,-0.01,0.01,-0.28,0.28,0.06,-0.06,0.55,-0.55
35.0,0.000812,1.336,4.48,-4.48,3.79,-3.79,2.9,-2.9,0.52,-0.52,-0.1,0.1,-0.04,0.04,-0.01,0.01,-2.01,2.01,0.28,-0.28,0.25,-0.25
35.0,0.000921,1.21,2.44,-2.44,2.07,-2.07,1.41,-1.41,0.98,-0.98,-0.18,0.18,-0.41,0.41,-0.06,0.06,-0.92,0.92,0.07,-0.07,0.38,-0.38
35.0,0.001,1.363,2.63,-2.63,1.87,-1.87,1.27,-1.27,0.41,-0.41,-0.12,0.12,-0.14,0.14,-0.03,0.03,0.16,-0.16,0.07,-0.07,0.21,-0.21
35.0,0.00106,1.237,1.7,-1.7,1.46,-1.46,1.24,-1.24,0.83,-0.83,-0.15,0.15,-0.17,0.17,-0.02,0.02,-0.09,0.09,0.06,-0.06,0.32,-0.32
35.0,0.00123,1.222,1.93,-1.93,1.4,-1.4,1.23,-1.23,0.65,-0.65,-0.12,0.12,-0.08,0.08,-0.02,0.02,0.24,-0.24,0.06,-0.06,0.27,-0.27
35.0,0.00141,1.219,1.06,-1.06,1.05,-1.05,1.23,-1.23,0.88,-0.88,-0.14,0.14,-0.15,0.15,-0.02,0.02,0.23,-0.23,0.06,-0.06,0.36,-0.36
35.0,0.0018,1.143,1.53,-1.53,1.18,-1.18,1.25,-1.25,0.85,-0.85,-0.14,0.14,-0.06,0.06,-0.01,0.01,0.35,-0.35,0.06,-0.06,0.39,-0.39
35.0,0.00223,1.066,0.99,-0.99,0.83,-0.83,1.24,-1.24,0.84,-0.84,-0.12,0.12,-0.02,0.02,0.0,-0.0,0.38,-0.38,0.07,-0.07,0.41,-0.41
35.0,0.0031,0.984,1.27,-1.27,1.59,-1.59,1.28,-1.28,0.97,-0.97,-0.14,0.14,-0.04,0.04,-0.01,0.01,-0.17,0.17,0.06,-0.06,0.5,-0.5
35.0,0.00345,0.977,1.27,-1.27,1.91,-1.91,1.36,-1.36,0.69,-0.69,-0.08,0.08,0.04,-0.04,0.01,-0.01,0.77,-0.77,0.06,-0.06,0.32,-0.32
35.0,0.00575,0.833,0.94,-0.94,1.19,-1.19,1.31,-1.31,1.07,-1.07,-0.15,0.15,0.0,-0.0,-0.02,0.02,-0.46,0.46,0.06,-0.06,0.55,-0.55
45.0,0.00104,1.169,4.71,-4.71,3.41,-3.41,2.64,-2.64,0.6,-0.6,-0.11,0.11,-0.03,0.03,-0.01,0.01,-1.65,1.65,0.19,-0.19,0.26,-0.26
45.0,0.00118,1.205,2.98,-2.98,2.17,-2.17,1.37,-1.37,0.43,-0.43,-0.11,0.11,-0.11,0.11,-0.02,0.02,-0.37,0.37,0.07,-0.07,0.16,-0.16
45.0,0.00127,1.281,3.08,-3.08,2.27,-2.27,1.3,-1.3,0.08,-0.08,-0.09,0.09,-0.15,0.15,-0.02,0.02,-0.09,0.09,0.07,-0.07,-0.03,0.03
45.0,0.00137,1.243,2.09,-2.09,1.47,-1.47,1.21,-1.21,0.37,-0.37,-0.1,0.1,-0.16,0.16,-0.02,0.02,0.2,-0.2,0.06,-0.06,0.16,-0.16
45.0,0.00159,1.257,2.12,-2.12,1.34,-1.34,1.22,-1.22,0.32,-0.32,-0.1,0.1,-0.09,0.09,-0.02,0.02,0.29,-0.29,0.07,-0.07,0.14,-0.14
