#: table_doi: 10.17182/hepdata.68951.v1/t2
#: name: Table 2
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 300$ GeV;
$\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
$\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table2.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],300.0
Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
0.045,6.21e-07,0.078,5.06%,-5.06%,1.5%,-1.5%,7.3%,-7.3%,3.16%,-3.16%,1.25%,-1.25%,-0.75%,0.75%,-7.46%,7.46%,0.0%,-0.0%,-0.02%,0.02%,0.02%,-0.02%
0.065,8.97e-07,0.109,2.99%,-2.99%,1.5%,-1.5%,6.28%,-6.28%,3.03%,-3.03%,1.42%,-1.42%,-0.9%,0.9%,-7.4%,7.4%,0.0%,-0.0%,-0.02%,0.02%,0.02%,-0.02%
0.065,1.02e-06,0.11,4.7%,-4.7%,1.5%,-1.5%,5.99%,-5.99%,3.78%,-3.78%,1.54%,-1.54%,-0.79%,0.79%,-4.23%,4.23%,-0.01%,0.01%,-0.02%,0.02%,0.01%,-0.01%
0.085,1.17e-06,0.133,2.96%,-2.96%,1.5%,-1.5%,5.55%,-5.55%,2.86%,-2.86%,1.49%,-1.49%,-0.83%,0.83%,-6.3%,6.3%,0.0%,-0.0%,-0.02%,0.02%,0.01%,-0.01%
0.085,1.34e-06,0.128,2.28%,-2.28%,1.5%,-1.5%,4.03%,-4.03%,2.02%,-2.02%,1.2%,-1.2%,-0.53%,0.53%,-4.09%,4.09%,0.0%,-0.0%,-0.02%,0.02%,0.01%,-0.01%
0.085,1.56e-06,0.125,4.79%,-4.79%,1.5%,-1.5%,4.55%,-4.55%,1.08%,-1.08%,1.14%,-1.14%,0.07%,-0.07%,-1.47%,1.47%,0.0%,-0.0%,0.0%,-0.0%,0.02%,-0.02%
0.11,1.51e-06,0.161,3.49%,-3.49%,1.5%,-1.5%,5.49%,-5.49%,3.46%,-3.46%,1.6%,-1.6%,-0.83%,0.83%,-5.99%,5.99%,0.0%,-0.0%,-0.02%,0.02%,0.01%,-0.01%
0.11,1.73e-06,0.162,1.82%,-1.82%,0.99%,-0.99%,3.28%,-3.28%,2.46%,-2.46%,1.44%,-1.44%,-0.71%,0.71%,-2.84%,2.84%,-0.01%,0.01%,-0.02%,0.02%,0.01%,-0.01%
0.11,2.02e-06,0.155,1.8%,-1.8%,0.89%,-0.89%,2.48%,-2.48%,1.7%,-1.7%,1.31%,-1.31%,-0.41%,0.41%,-1.07%,1.07%,0.0%,-0.0%,-0.01%,0.01%,0.01%,-0.01%
0.11,2.43e-06,0.148,3.76%,-3.76%,1.5%,-1.5%,3.52%,-3.52%,1.18%,-1.18%,0.92%,-0.92%,-0.28%,0.28%,-0.37%,0.37%,0.0%,-0.0%,0.0%,-0.0%,0.01%,-0.01%
