#: table_doi: 10.17182/hepdata.68951.v1/t5
#: name: Table 5
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{-}$ for NC $e^{-}p$ scattering at $\sqrt{s} = 318$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{-}$.

#: data_file: Table5.yaml
#: keyword reactions: E- P --> E- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 318.0
#: RE,E- P --> E- X
#: SQRT(S) [GeV],318.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{-}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
1200.0,0.13,0.376,1.77,-1.77,0.38,-0.38,1.01,-1.01,0.02,-0.02,-0.03,0.03,-0.05,0.05,0.0,-0.0,-0.05,0.05,-0.06,0.06,-0.07,0.07
1200.0,0.18,0.319,3.76,-3.76,1.6,-1.6,1.03,-1.03,0.14,-0.14,-0.03,0.03,-0.09,0.09,0.0,-0.0,-0.05,0.05,-0.32,0.32,-0.03,0.03
1200.0,0.25,0.247,2.01,-2.01,0.52,-0.52,1.02,-1.02,0.18,-0.18,-0.04,0.04,-0.05,0.05,0.0,-0.0,-0.05,0.05,-0.19,0.19,-0.09,0.09
1200.0,0.4,0.125,3.25,-3.25,1.15,-1.15,2.69,-2.69,0.55,-0.55,-0.03,0.03,-0.03,0.03,0.01,-0.01,-0.05,0.05,-0.58,0.58,-0.1,0.1
1500.0,0.02,0.805,2.18,-2.18,0.64,-0.64,1.42,-1.42,0.31,-0.31,-0.45,0.45,-0.04,0.04,0.0,-0.0,-0.04,0.04,0.13,-0.13,-0.14,0.14
1500.0,0.032,0.661,2.01,-2.01,0.41,-0.41,0.99,-0.99,0.06,-0.06,-0.06,0.06,0.0,-0.0,0.0,-0.0,-0.05,0.05,-0.05,0.05,-0.08,0.08
1500.0,0.05,0.545,1.86,-1.86,0.42,-0.42,1.0,-1.0,0.1,-0.1,-0.04,0.04,-0.03,0.03,0.0,-0.0,-0.05,0.05,-0.1,0.1,-0.09,0.09
1500.0,0.08,0.49,1.83,-1.83,0.41,-0.41,0.99,-0.99,0.05,-0.05,-0.04,0.04,-0.03,0.03,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.06,0.06
1500.0,0.13,0.378,2.36,-2.36,0.46,-0.46,1.05,-1.05,0.04,-0.04,-0.04,0.04,-0.02,0.02,0.0,-0.0,-0.05,0.05,-0.02,0.02,-0.02,0.02
1500.0,0.18,0.313,2.48,-2.48,0.57,-0.57,1.01,-1.01,0.04,-0.04,-0.04,0.04,-0.02,0.02,0.0,-0.0,-0.05,0.05,-0.04,0.04,-0.02,0.02
1500.0,0.25,0.26,2.85,-2.85,0.74,-0.74,1.01,-1.01,0.17,-0.17,-0.04,0.04,-0.06,0.06,0.0,-0.0,-0.05,0.05,-0.21,0.21,-0.07,0.07
1500.0,0.4,0.13,4.34,-4.34,1.39,-1.39,3.03,-3.03,0.55,-0.55,-0.04,0.04,-0.02,0.02,0.01,-0.01,-0.05,0.05,-0.49,0.49,-0.05,0.05
1500.0,0.65,0.016,11.1,-11.1,6.33,-6.33,2.89,-2.89,2.36,-2.36,-0.03,0.03,0.09,-0.09,0.02,-0.02,-0.06,0.06,-0.71,0.71,-0.11,0.11
2000.0,0.0219,0.878,5.51,-5.51,2.19,-2.19,1.6,-1.6,1.01,-1.01,-1.35,1.35,-0.14,0.14,0.0,-0.0,-0.03,0.03,-0.14,0.14,-0.21,0.21
2000.0,0.032,0.658,2.41,-2.41,0.56,-0.56,1.16,-1.16,0.16,-0.16,-0.17,0.17,-0.01,0.01,0.0,-0.0,-0.04,0.04,0.1,-0.1,-0.1,0.1
2000.0,0.05,0.57,2.24,-2.24,0.39,-0.39,0.99,-0.99,0.07,-0.07,-0.04,0.04,0.0,-0.0,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.06,0.06
2000.0,0.08,0.464,2.24,-2.24,0.44,-0.44,1.0,-1.0,0.08,-0.08,-0.03,0.03,-0.05,0.05,0.0,-0.0,-0.05,0.05,-0.15,0.15,-0.12,0.12
2000.0,0.13,0.37,2.69,-2.69,0.54,-0.54,1.0,-1.0,0.06,-0.06,-0.04,0.04,-0.06,0.06,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.07,0.07
2000.0,0.18,0.31,2.94,-2.94,0.69,-0.69,1.08,-1.08,0.11,-0.11,-0.05,0.05,-0.03,0.03,0.0,-0.0,-0.05,0.05,-0.04,0.04,-0.05,0.05
2000.0,0.25,0.251,3.35,-3.35,0.8,-0.8,1.02,-1.02,0.15,-0.15,-0.04,0.04,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.19,0.19,-0.06,0.06
2000.0,0.4,0.123,4.6,-4.6,1.58,-1.58,1.17,-1.17,0.24,-0.24,-0.03,0.03,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.44,0.44,-0.09,0.09
2000.0,0.65,0.011,15.9,-15.9,7.83,-7.83,3.03,-3.03,2.2,-2.2,-0.02,0.02,0.22,-0.22,0.03,-0.03,-0.05,0.05,-0.82,0.82,-0.14,0.14
3000.0,0.032,0.731,3.76,-3.76,1.74,-1.74,1.14,-1.14,0.41,-0.41,-0.56,0.56,-0.06,0.06,0.0,-0.0,-0.04,0.04,-0.07,0.07,-0.14,0.14
3000.0,0.05,0.599,2.34,-2.34,0.69,-0.69,1.05,-1.05,0.2,-0.2,-0.15,0.15,0.02,-0.02,0.0,-0.0,-0.04,0.04,-0.01,0.01,-0.09,0.09
3000.0,0.08,0.508,2.34,-2.34,0.56,-0.56,0.99,-0.99,0.05,-0.05,-0.03,0.03,-0.02,0.02,0.0,-0.0,-0.05,0.05,-0.06,0.06,-0.09,0.09
3000.0,0.13,0.394,2.82,-2.82,0.71,-0.71,0.98,-0.98,0.0,-0.0,-0.03,0.03,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.05,0.05,-0.07,0.07
3000.0,0.18,0.317,3.13,-3.13,0.75,-0.75,1.0,-1.0,0.03,-0.03,-0.03,0.03,-0.03,0.03,0.0,-0.0,-0.05,0.05,-0.06,0.06,-0.03,0.03
3000.0,0.25,0.265,3.4,-3.4,1.02,-1.02,1.19,-1.19,0.35,-0.35,-0.03,0.03,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.26,0.26,-0.04,0.04
3000.0,0.4,0.131,4.6,-4.6,1.9,-1.9,1.12,-1.12,0.35,-0.35,-0.04,0.04,-0.08,0.08,0.0,-0.0,-0.05,0.05,-0.34,0.34,-0.05,0.05
3000.0,0.65,0.015,8.82,-8.82,3.78,-3.78,1.89,-1.89,1.39,-1.39,-0.03,0.03,0.02,-0.02,0.01,-0.01,-0.05,0.05,-1.01,1.01,-0.18,0.18
5000.0,0.0547,0.642,5.01,-5.01,1.9,-1.9,1.11,-1.11,0.42,-0.42,-0.49,0.49,-0.07,0.07,0.0,-0.0,-0.04,0.04,-0.07,0.07,-0.13,0.13
5000.0,0.08,0.546,2.34,-2.34,0.58,-0.58,1.06,-1.06,0.15,-0.15,-0.1,0.1,0.01,-0.01,0.0,-0.0,-0.05,0.05,0.08,-0.08,-0.07,0.07
5000.0,0.13,0.471,2.85,-2.85,0.72,-0.72,0.99,-0.99,0.11,-0.11,-0.05,0.05,-0.02,0.02,0.0,-0.0,-0.05,0.05,-0.02,0.02,-0.07,0.07
5000.0,0.18,0.365,3.18,-3.18,0.7,-0.7,0.99,-0.99,0.05,-0.05,-0.03,0.03,-0.03,0.03,0.0,-0.0,-0.05,0.05,-0.05,0.05,-0.07,0.07
5000.0,0.25,0.249,4.24,-4.24,0.79,-0.79,1.08,-1.08,0.12,-0.12,-0.04,0.04,-0.05,0.05,0.0,-0.0,-0.05,0.05,-0.09,0.09,-0.03,0.03
5000.0,0.4,0.13,5.18,-5.18,1.65,-1.65,1.2,-1.2,0.43,-0.43,-0.05,0.05,0.03,-0.03,0.0,-0.0,-0.05,0.05,-0.37,0.37,-0.02,0.02
5000.0,0.65,0.015,12.57,-12.57,6.37,-6.37,1.93,-1.93,1.0,-1.0,-0.03,0.03,-0.01,0.01,0.01,-0.01,-0.06,0.06,-1.25,1.25,0.01,-0.01
8000.0,0.0875,0.644,7.39,-7.39,2.49,-2.49,1.27,-1.27,0.71,-0.71,-0.84,0.84,-0.1,0.1,0.0,-0.0,-0.04,0.04,-0.12,0.12,-0.16,0.16
8000.0,0.13,0.559,3.24,-3.24,0.76,-0.76,1.13,-1.13,0.07,-0.07,-0.12,0.12,0.0,-0.0,0.0,-0.0,-0.05,0.05,-0.02,0.02,-0.09,0.09
8000.0,0.18,0.417,3.95,-3.95,0.98,-0.98,1.01,-1.01,-0.04,0.04,-0.02,0.02,-0.02,0.02,0.0,-0.0,-0.05,0.05,0.0,-0.0,-0.08,0.08
8000.0,0.25,0.297,4.66,-4.66,1.07,-1.07,1.08,-1.08,-0.01,0.01,-0.03,0.03,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.01,0.01,-0.05,0.05
8000.0,0.4,0.121,7.2,-7.2,2.22,-2.22,1.22,-1.22,0.24,-0.24,-0.02,0.02,-0.01,0.01,0.0,-0.0,-0.06,0.06,-0.24,0.24,-0.01,0.01
8000.0,0.65,0.016,11.75,-11.75,3.83,-3.83,1.49,-1.49,0.84,-0.84,-0.03,0.03,-0.01,0.01,0.0,-0.0,-0.05,0.05,-0.92,0.92,-0.08,0.08
12000.0,0.13,0.733,12.72,-12.72,3.66,-3.66,1.44,-1.44,0.92,-0.92,-1.12,1.12,-0.13,0.13,0.0,-0.0,-0.04,0.04,-0.13,0.13,-0.18,0.18
12000.0,0.18,0.482,4.64,-4.64,0.76,-0.76,1.48,-1.48,0.31,-0.31,-0.15,0.15,-0.05,0.05,0.0,-0.0,-0.04,0.04,0.06,-0.06,-0.06,0.06
12000.0,0.25,0.334,5.85,-5.85,1.24,-1.24,1.21,-1.21,0.1,-0.1,-0.04,0.04,0.01,-0.01,0.0,-0.0,-0.04,0.04,-0.01,0.01,-0.06,0.06
12000.0,0.4,0.171,7.91,-7.91,2.39,-2.39,1.28,-1.28,-0.05,0.05,-0.05,0.05,-0.01,0.01,0.01,-0.01,-0.05,0.05,-0.11,0.11,0.01,-0.01
12000.0,0.65,0.015,22.68,-22.68,6.33,-6.33,1.67,-1.67,0.58,-0.58,0.01,-0.01,0.02,-0.02,0.0,-0.0,-0.07,0.07,-1.21,1.21,0.04,-0.04
20000.0,0.25,0.479,7.0,-7.0,0.98,-0.98,2.03,-2.03,0.53,-0.53,-0.46,0.46,-0.02,0.02,0.0,-0.0,-0.03,0.03,0.09,-0.09,-0.13,0.13
20000.0,0.4,0.206,9.67,-9.67,2.24,-2.24,1.26,-1.26,0.28,-0.28,-0.08,0.08,-0.04,0.04,0.0,-0.0,-0.04,0.04,-0.13,0.13,-0.09,0.09
20000.0,0.65,0.017,30.51,-30.51,14.48,-14.48,2.63,-2.63,0.05,-0.05,0.01,-0.01,0.21,-0.21,0.01,-0.01,-0.09,0.09,-0.4,0.4,0.31,-0.31
30000.0,0.4,0.231,13.51,-13.51,1.85,-1.85,2.63,-2.63,0.54,-0.54,-0.4,0.4,-0.16,0.16,0.0,-0.0,-0.03,0.03,-0.27,0.27,-0.07,0.07
30000.0,0.65,0.044,30.34,-30.34,11.33,-11.33,2.21,-2.21,0.04,-0.04,0.09,-0.09,-0.06,0.06,0.0,-0.0,-0.08,0.08,-0.43,0.43,0.17,-0.17
50000.0,0.65,0.082,55.75,-55.75,10.55,-10.55,1.78,-1.78,0.11,-0.11,0.05,-0.05,-0.07,0.07,0.0,-0.0,-0.07,0.07,-0.35,0.35,0.11,-0.11

