q2	x	cme	f2	fl	redx
0.15	1e-05	319.0	0.14751400575206827	0.0003498252031548475	0.14716418054891342
0.15	1.438449888287663e-05	319.0	0.14324712609631185	0.00015844485395079852	0.14308868124236104
0.15	2.06913808111479e-05	319.0	0.13905851147160436	7.26988784994302e-05	0.13898581259310494
0.15	2.9763514416313192e-05	319.0	0.13495372357311716	3.365774342784031e-05	0.13492006582968932
0.15	4.281332398719396e-05	319.0	0.13093857320282312	1.5679698593695655e-05	0.13092289350422942
0.15	6.158482110660267e-05	319.0	0.12701877133866496	7.33568509702585e-06	0.12701143565356793
0.15	8.858667904100833e-05	319.0	0.12320150444986055	3.442095198754545e-06	0.1231980623546618
0.15	0.00012742749857031334	319.0	0.11949369839376249	1.61845580798843e-06	0.1194920799379545
0.15	0.00018329807108324357	319.0	0.11590337849933974	7.6212308235192e-07	0.11590261637625739
0.15	0.00026366508987303583	319.0	0.11243857684087832	3.592887513720533e-07	0.11243821755212695
0.15	0.000379269019073225	319.0	0.10910902437983129	1.6954300805274532e-07	0.10910885483682324
0.15	0.0005455594781168515	319.0	0.1059266927032073	8.00775792226737e-08	0.10592661262562808
0.15	0.0007847599703514606	319.0	0.10290724394062857	3.7858028577651975e-08	0.1029072060826
0.15	0.0011288378916846883	319.0	0.10006485339089792	1.7917873855457654e-08	0.10006483547302407
0.15	0.001623776739188721	319.0	0.09740982025290845	8.491663527907384e-09	0.09740981176124493
0.15	0.002335721469090121	319.0	0.09494963533267141	4.030824274873727e-09	0.09494963130184714
0.15	0.003359818286283781	319.0	0.09268764632649026	1.9171282983452494e-09	0.09268764440936196
0.15	0.004832930238571752	319.0	0.09070219591575049	9.140400341819497e-10	0.09070219500171045
0.15	0.0069519279617756054	319.0	0.08900058331101876	4.370868203018521e-10	0.08900058287393194
0.15	0.01	319.0	0.08762070278263684	2.0976771654122698e-10	0.08762070257286912
0.2	1e-05	319.0	0.180688183738824	0.0008123922566114009	0.1798757914822126
0.2	1.438449888287663e-05	319.0	0.1751214732161386	0.00036178854800753994	0.17475968466813108
0.2	2.06913808111479e-05	319.0	0.16966373396731055	0.00016388965614068203	0.16949984431116988
0.2	2.9763514416313192e-05	319.0	0.16432181282592684	7.513771556320542e-05	0.16424667511036364
0.2	4.281332398719396e-05	319.0	0.15910278936986114	3.4736006484235865e-05	0.1590680533633769
0.2	6.158482110660267e-05	319.0	0.15401360478139134	1.6150737692656523e-05	0.1539974540436987
0.2	8.858667904100833e-05	319.0	0.14906271860267611	7.539207628602615e-06	0.1490551793950475
0.2	0.00012742749857031334	319.0	0.1442582760095325	3.5290459814593687e-06	0.14425474696355103
0.2	0.00018329807108324357	319.0	0.13960969344890536	1.655162140080632e-06	0.1396080382867653
0.2	0.00026366508987303583	319.0	0.13512617572826305	7.774198045067756e-07	0.13512539830845854
0.2	0.000379269019073225	319.0	0.13081890764821716	3.6557748601375143e-07	0.13081854207073115
0.2	0.0005455594781168515	319.0	0.12670180527469346	1.7209045192184326e-07	0.12670163318424155
0.2	0.0007847599703514606	319.0	0.12279342612863005	8.10936556580742e-08	0.1227933450349744
0.2	0.0011288378916846883	319.0	0.1191054719384349	3.825781813949712e-08	0.11910543368061677
0.2	0.001623776739188721	319.0	0.11565034354379436	1.8073466439371566e-08	0.11565032547032791
0.2	0.002335721469090121	319.0	0.11245172112067263	8.551932801675581e-09	0.11245171256873983
0.2	0.003359818286283781	319.0	0.10949382837149592	4.054586678678613e-09	0.10949382431690924
0.2	0.004832930238571752	319.0	0.10685953719024183	1.927028217475459e-09	0.10685953526321361
0.2	0.0069519279617756054	319.0	0.1045793973992891	9.185917672338325e-10	0.10457939648069733
0.2	0.01	319.0	0.10268498943707215	4.394770467389285e-10	0.1026849889975951
0.25	1e-05	319.0	0.2107433526682096	0.0015697010526685906	0.209173651615541
0.25	1.438449888287663e-05	319.0	0.20392659415269315	0.0006879440446431322	0.20323865010805003
0.25	2.06913808111479e-05	319.0	0.1972505556045415	0.00030786027320615456	0.19694269533133535
0.25	2.9763514416313192e-05	319.0	0.19072316628136757	0.0001398394268441009	0.19058332685452348
0.25	4.281332398719396e-05	319.0	0.18435253891093578	6.418475294228715e-05	0.1842883541579935
0.25	6.158482110660267e-05	319.0	0.1781466165612717	2.9673160398972745e-05	0.17811694340087272
0.25	8.858667904100833e-05	319.0	0.17211482114842705	1.378666125575644e-05	0.1721010344871713
0.25	0.00012742749857031334	319.0	0.16626619354640323	6.427709052035498e-06	0.1662597658373512
0.25	0.00018329807108324357	319.0	0.16061120048610827	3.004075587724831e-06	0.16060819641052054
0.25	0.00026366508987303583	319.0	0.1551598396536111	1.4064840257202478e-06	0.15515843316958539
0.25	0.000379269019073225	319.0	0.149924302437185	6.594127946213939e-07	0.14992364302439037
0.25	0.0005455594781168515	319.0	0.14491808786420884	3.09520773053356e-07	0.1449177783434358
0.25	0.0007847599703514606	319.0	0.14016297880009831	1.4544805599479182e-07	0.14016283335204233
0.25	0.0011288378916846883	319.0	0.13567401321769784	6.842981485478862e-08	0.135673944787883
0.25	0.001623776739188721	319.0	0.1314581639505132	3.2238437499244175e-08	0.1314581317120757
0.25	0.002335721469090121	319.0	0.12754191090612288	1.5212487861001163e-08	0.12754189569363503
0.25	0.003359818286283781	319.0	0.12392892673651766	7.192422165227596e-09	0.12392891954409549
0.25	0.004832930238571752	319.0	0.12066836061757874	3.408753979426089e-09	0.12066835720882477
0.25	0.0069519279617756054	319.0	0.11782052332064794	1.6202896207355387e-09	0.11782052170035831
