# bk: ../bk/results/RK4/bk_MVe.csv
q2	x	cme	f2	fl	redx
1.5	1e-05	319.0	0.8892253155577952	0.3133096181528441	0.5759156974049511
1.5	1.438449888287663e-05	319.0	0.8474457075732614	0.17711913016469327	0.6703265774085682
1.5	2.06913808111479e-05	319.0	0.8069594238034141	0.07552743181117658	0.7314319919922375
1.5	2.9763514416313192e-05	319.0	0.7677884776796844	0.030041544064251163	0.7377469336154332
1.5	4.281332398719396e-05	319.0	0.7299424384059822	0.01214005073662636	0.7178023876693558
1.5	6.158482110660267e-05	319.0	0.6934353277750408	0.005059689194203539	0.6883756385808373
1.5	8.858667904100833e-05	319.0	0.6582781253546516	0.002166270419335565	0.656111854935316
1.5	0.00012742749857031334	319.0	0.6244752729450784	0.0009463060126013982	0.6235289669324771
1.5	0.00018329807108324357	319.0	0.5920361616321845	0.00041931457161181664	0.5916168470605727
1.5	0.00026366508987303583	319.0	0.5609609610302723	0.0001876410495177737	0.5607733199807545
1.5	0.000379269019073225	319.0	0.5312442583432113	8.453437164553616e-05	0.5311597239715657
1.5	0.0005455594781168515	319.0	0.50290334513121	3.8260318516720265e-05	0.5028650848126933
1.5	0.0007847599703514606	319.0	0.47589807126032685	1.7366307420100145e-05	0.47588070495290674
1.5	0.0011288378916846883	319.0	0.45025743467461915	7.899177305908777e-06	0.4502495354973132
1.5	0.001623776739188721	319.0	0.425978514508774	3.5979024773884496e-06	0.4259749166062966
1.5	0.002335721469090121	319.0	0.4030538837308567	1.6403454412412671e-06	0.40305224338541545
1.5	0.003359818286283781	319.0	0.381498071025181	7.484350966933139e-07	0.38149732259008434
1.5	0.004832930238571752	319.0	0.36131183610191403	3.4172658253965376e-07	0.3613114943753315
1.5	0.0069519279617756054	319.0	0.3425082205060763	1.5613163680328686e-07	0.34250806437443954
1.5	0.01	319.0	0.32511783932404287	7.139510766721934e-08	0.3251177679289352
8.5	1e-05	319.0	0.8166700529491075	0.027514151599785677	0.7891559013493219
8.5	1.438449888287663e-05	319.0	0.7762135217361897	0.029012809133870988	0.7472007126023188
8.5	2.06913808111479e-05	319.0	0.7371507029412786	0.03154973723348567	0.705600965707793
8.5	2.9763514416313192e-05	319.0	0.6994884774579846	0.034853843533761586	0.6646346339242231
8.5	4.281332398719396e-05	319.0	0.6743680823266716	0.03591140291166514	0.6384566794150064
8.5	6.158482110660267e-05	319.0	0.6387507102449662	0.027905349433149554	0.6108453608118166
8.5	8.858667904100833e-05	319.0	0.6045635984177729	0.01440251613427312	0.5901610822834997
8.5	0.00012742749857031334	319.0	0.5718001858874265	0.0059285291090365195	0.56587165677839
8.5	0.00018329807108324357	319.0	0.5404546556424765	0.0023465595100227005	0.5381080961324538
8.5	0.00026366508987303583	319.0	0.5105148798001351	0.0009504115575889231	0.5095644682425462
8.5	0.000379269019073225	319.0	0.4819640981911434	0.0003970162844327712	0.4815670819067106
8.5	0.0005455594781168515	319.0	0.4547870939630778	0.00017014601890509088	0.45461694794417273
8.5	0.0007847599703514606	319.0	0.4289807451653734	7.430801063727811e-05	0.4289064371547361
8.5	0.0011288378916846883	319.0	0.40451784718387557	3.288975159509023e-05	0.40448495743228047
8.5	0.001623776739188721	319.0	0.37117033353460976	1.4695749131000824e-05	0.3711556377854788
8.5	0.002335721469090121	319.0	0.3502320368765856	6.609345349211886e-06	0.3502254275312364
8.5	0.003359818286283781	319.0	0.33057176675275207	2.986342444619288e-06	0.33056878041030746
8.5	0.004832930238571752	319.0	0.31217664251905225	1.3539347975962568e-06	0.31217528858425464
8.5	0.0069519279617756054	319.0	0.2950577921616974	6.15417648611293e-07	0.2950571767440488
8.5	0.01	319.0	0.279231216978932	2.8031496850839777e-07	0.2792309366639635
27.0	1e-05	319.0	0.7546869856630258	0.008767034899027108	0.7459199507639988
27.0	1.438449888287663e-05	319.0	0.7178145327689083	0.008643378371295283	0.709171154397613
27.0	2.06913808111479e-05	319.0	0.6821920409425989	0.00863444095043771	0.6735575999921611
27.0	2.9763514416313192e-05	319.0	0.6478218016882348	0.008788971341748478	0.6390328303464863
27.0	4.281332398719396e-05	319.0	0.6147084099662622	0.00917842563910586	0.6055299843271563
27.0	6.158482110660267e-05	319.0	0.5828502513456	0.009884475435702976	0.5729657759098971
27.0	8.858667904100833e-05	319.0	0.552248408509908	0.01087617229483704	0.5413722362150709
27.0	0.00012742749857031334	319.0	0.5229007319902125	0.011435506497807295	0.5114652254924051
27.0	0.00018329807108324357	319.0	0.4948034041522419	0.00947363990900674	0.48532976424323515
27.0	0.00026366508987303583	319.0	0.4679489253539529	0.00520477296875059	0.4627441523852023
27.0	0.000379269019073225	319.0	0.4423213900800984	0.0021823062747716427	0.4401390838053268
27.0	0.0005455594781168515	319.0	0.41792021978774335	0.0008601230973806224	0.4170600966903627
27.0	0.0007847599703514606	319.0	0.3947372994118999	0.0003451323926897795	0.3943921670192101
27.0	0.0011288378916846883	319.0	0.3727585873919656	0.00014287564660594648	0.3726157117453597
27.0	0.001623776739188721	319.0	0.35198695498397414	6.079974642317352e-05	0.351926155237551
27.0	0.002335721469090121	319.0	0.33240413670607666	2.6369140010363164e-05	0.3323777675660663
27.0	0.003359818286283781	319.0	0.3140231014823089	1.1610556776271859e-05	0.3140114909255326
27.0	0.004832930238571752	319.0	0.29683109682841624	5.164784109285787e-06	0.29682593204430696
27.0	0.0069519279617756054	319.0	0.2808429573098285	2.3143283260596634e-06	0.28084064298150246
27.0	0.01	319.0	0.266079099809736	1.0426567949668254e-06	0.266078057152941
