# bk: ../bk/results/RK4/bk_MVe.csv
q2	x	cme	f2	fl	redx
1.5	1e-05	319.0	0.4301731995808798	0.030426782930404878	0.39974641665047494
1.5	1.438449888287663e-05	319.0	0.4121331972524957	0.017384459476150884	0.39474873777634484
1.5	2.06913808111479e-05	319.0	0.3945941414054727	0.007493504605939348	0.3871006367995334
1.5	2.9763514416313192e-05	319.0	0.3776294790542815	0.0030173942237283163	0.3746120848305532
1.5	4.281332398719396e-05	319.0	0.3611891955735285	0.0012340784987874922	0.35995511707474104
1.5	6.158482110660267e-05	319.0	0.34527353469847233	0.0005206713667830818	0.34475286333168925
1.5	8.858667904100833e-05	319.0	0.32984754580397846	0.0002257464886024857	0.329621799315376
1.5	0.00012742749857031334	319.0	0.314970809905484	9.99042910675094e-05	0.3148709056144165
1.5	0.00018329807108324357	319.0	0.30064355757982253	4.48661652136068e-05	0.30059869141460893
1.5	0.00026366508987303583	319.0	0.28687685008148195	2.0358143388824425e-05	0.28685649193809315
1.5	0.000379269019073225	319.0	0.27367992188282575	9.305167534192914e-06	0.2736706167152916
1.5	0.0005455594781168515	319.0	0.26105774167477164	4.275291197874546e-06	0.26105346638357374
1.5	0.0007847599703514606	319.0	0.24904024233324376	1.9714833652309264e-06	0.24903827084987853
1.5	0.0011288378916846883	319.0	0.2376342931221635	9.116837312352174e-07	0.23763338143843227
1.5	0.001623776739188721	319.0	0.22687701884665432	4.226312325536872e-07	0.22687659621542175
1.5	0.002335721469090121	319.0	0.21674585283084524	1.963130532905452e-07	0.21674565651779196
1.5	0.003359818286283781	319.0	0.20727461072884845	9.138612272348844e-08	0.20727451934272573
1.5	0.004832930238571752	319.0	0.1985035940542736	4.262997082459322e-08	0.19850355142430276
1.5	0.0069519279617756054	319.0	0.19046067823341847	1.993630542320963e-08	0.19046065829711306
1.5	0.01	319.0	0.1831864490704712	9.349002777281737e-09	0.18318643972146845
8.5	1e-05	319.0	0.3986146716394907	0.00023905960549342652	0.3983756120339973
8.5	1.438449888287663e-05	319.0	0.38185414331218404	0.0002637920667409	0.38159035124544316
8.5	2.06913808111479e-05	319.0	0.3655644152843843	0.00030046133668548745	0.36526395394769884
8.5	2.9763514416313192e-05	319.0	0.3497841871906099	0.00034798045923761496	0.34943620673137227
8.5	4.281332398719396e-05	319.0	0.3345354541788641	0.0003761997390797614	0.33415925443978434
8.5	6.158482110660267e-05	319.0	0.31976623546763966	0.0003069896195857983	0.31945924584805385
8.5	8.858667904100833e-05	319.0	0.30007157896591274	0.00016651210630930026	0.29990506685960344
8.5	0.00012742749857031334	319.0	0.2865756698232255	7.210313753116729e-05	0.2865035666856944
8.5	0.00018329807108324357	319.0	0.26196883738921	3.0043870074330306e-05	0.2619387935191357
8.5	0.00026366508987303583	319.0	0.2501735364766073	1.2819885329416371e-05	0.25016071659127787
8.5	0.000379269019073225	319.0	0.23886684862784877	5.646434092651016e-06	0.23886120219375612
8.5	0.0005455594781168515	319.0	0.22804946589598213	2.553432220351089e-06	0.22804691246376177
8.5	0.0007847599703514606	319.0	0.217739848114759	1.1776739202523752e-06	0.21773867044083875
8.5	0.0011288378916846883	319.0	0.20796517367740708	5.509283166891589e-07	0.2079646227490904
8.5	0.001623776739188721	319.0	0.1987526236581148	2.604127652868553e-07	0.1987523632453495
8.5	0.002335721469090121	319.0	0.19007944695703094	1.2399209532955936e-07	0.1900793229649356
8.5	0.003359818286283781	319.0	0.1819791504292006	5.93573943094922e-08	0.1819790910718063
8.5	0.004832930238571752	319.0	0.17449519087055157	2.852957469972678e-08	0.17449516234097687
8.5	0.0069519279617756054	319.0	0.16764747382594386	1.375289841498278e-08	0.16764746007304546
8.5	0.01	319.0	0.16147547453409686	6.643230947115138e-09	0.16147546789086592
27.0	1e-05	319.0	0.32985591146291227	6.125220939935783e-05	0.3297946592535129
27.0	1.438449888287663e-05	319.0	0.31659536824634005	6.327063981359182e-05	0.31653209760652645
27.0	2.06913808111479e-05	319.0	0.30366105856471126	6.628237926496522e-05	0.3035947761854463
27.0	2.9763514416313192e-05	319.0	0.2912005004963541	7.082044219352671e-05	0.29112968005416057
27.0	4.281332398719396e-05	319.0	0.27916280122041875	7.770227073283874e-05	0.2790850989496859
27.0	6.158482110660267e-05	319.0	0.2673334863937551	8.799281760136838e-05	0.26724549357615374
