# bk: ../bk/results/RK4/bk_MVe.csv
q2	x	cme	f2	fl	redx
1.5	1e-05	319.0	0.8843041673182174	0.31296100790369646	0.5713431594145209
1.5	1.438449888287663e-05	319.0	0.8425264461069436	0.17691443285253963	0.665612013254404
1.5	2.06913808111479e-05	319.0	0.8020441396696862	0.0754371330429491	0.7266070066267372
1.5	2.9763514416313192e-05	319.0	0.7628757653748193	0.030004256209164516	0.7328715091656548
1.5	4.281332398719396e-05	319.0	0.7250357858133273	0.012124385727077766	0.7129114000862495
1.5	6.158482110660267e-05	319.0	0.6885354058455172	0.005052904034071873	0.6834825018114453
1.5	8.858667904100833e-05	319.0	0.6533841759654073	0.0021632421567142164	0.6512209338086931
1.5	0.00012742749857031334	319.0	0.6195885408065848	0.0009449272492639598	0.6186436135573208
1.5	0.00018329807108324357	319.0	0.587155294507113	0.0004186758183941143	0.5867366186887188
1.5	0.00026366508987303583	319.0	0.5560883402698271	0.00018734333956852786	0.5559009969302586
1.5	0.000379269019073225	319.0	0.5263822665625094	8.43947295408646e-05	0.5262978718329685
1.5	0.0005455594781168515	319.0	0.49803791933802616	3.8191075141563884e-05	0.4979997282628846
1.5	0.0007847599703514606	319.0	0.4710555014771206	1.733520816175402e-05	0.47103816626895884
1.5	0.0011288378916846883	319.0	0.4454288597889767	7.884543822789822e-06	0.44542097524515395
1.5	0.001623776739188721	319.0	0.4211653124466691	3.591088477384322e-06	0.42116172135819174
1.5	0.002335721469090121	319.0	0.3982605289932838	1.6371860749440136e-06	0.39825889180720886
1.5	0.003359818286283781	319.0	0.3767251194385979	7.469701473350921e-07	0.37672437246845053
1.5	0.004832930238571752	319.0	0.35656019160155294	3.4103742248300943e-07	0.3565598505641305
1.5	0.0069519279617756054	319.0	0.33780119628277966	1.5582579260452018e-07	0.33780104045698706
1.5	0.01	319.0	0.3204702391995653	7.126483794622199e-08	0.3204701679347274
