x_Bj,"cross section (+-), data",err,calculated cross section,"calculated, normalized"
3.14E-04,1.48,0.070152,1.963293736,1.963293736
3.55E-04,1.441,0.0433741,1.895050682,1.895050682
4.10E-04,1.462,0.0377196,1.817314102,1.817314102
5.00E-04,1.411,0.0221527,1.7142784,1.7142784
8.00E-04,1.289,0.0157258,1.488284973,1.488284973
1.30E-03,1.154,0.0140788,1.280512402,1.280512402
2.00E-03,1.044,0.0127368,1.118500581,1.118500581
3.20E-03,0.913,0.0114125,0.9670965096,0.9670965096
5.00E-03,0.8,0.01008,0.8406913611,0.8406913611
8.00E-03,0.707,0.0088375,0.71523474,0.71523474
1.30E-02,0.635,0.008382,0.6585960674,0.6585960674
2.00E-02,0.576,0.0101376,0.6576024073,0.6576024073
3.20E-02,0.527,0.0134385,0.6564434099,0.6564434099
