x_Bj,"cross section (+-), data",err,calculated cross section,"calculated, normalized"
9.22E-04,1.385,0.0885015,2.022214742,2.022214742
1.00E-03,1.434,0.051624,1.967302879,1.967302879
1.10E-03,1.506,0.0472884,1.904400404,1.904400404
1.24E-03,1.445,0.038437,1.827673811,1.827673811
1.30E-03,1.414,0.0335118,1.798121704,1.798121704
2.00E-03,1.246,0.0272874,1.547474755,1.547474755
2.50E-03,1.19,0.021658,1.430749497,1.430749497
3.20E-03,1.084,0.0165852,1.310832094,1.310832094
5.00E-03,0.958,0.0144658,1.113817549,1.113817549
8.00E-03,0.819,0.0153972,0.9275502471,0.9275502471
1.30E-02,0.716,0.0162532,0.8462640413,0.8462640413
2.00E-02,0.637,0.0136318,0.845620351,0.845620351
3.20E-02,0.561,0.0138006,0.8448695557,0.8448695557
