x_Bj,"cross section (+-), data",err,calculated cross section,"calculated, normalized"
5.90E-04,1.468,0.0532884,1.984046928,1.984046928
6.34E-04,1.451,0.0320671,1.939380848,1.939380848
7.00E-04,1.485,0.0411345,1.879179946,1.879179946
8.00E-04,1.46,0.021462,1.800350653,1.800350653
9.20E-04,1.388,0.02776,1.720679143,1.720679143
1.10E-03,1.371,0.0253635,1.622974847,1.622974847
1.30E-03,1.294,0.0156574,1.535818212,1.535818212
2.00E-03,1.152,0.0131328,1.330458179,1.330458179
3.20E-03,1.005,0.011859,1.13644525,1.13644525
5.00E-03,0.896,0.0106624,0.974715136,0.974715136
8.00E-03,0.78,0.009282,0.8186552762,0.8186552762
1.30E-02,0.679,0.0087591,0.7496937584,0.7496937584
2.00E-02,0.601,0.0080534,0.7488968513,0.7488968513
3.20E-02,0.533,0.0095407,0.7479673451,0.7479673451
5.00E-02,0.485,0.012707,0.7472049842,0.7472049842
