x_Bj,"cross section (+-), data",err,calculated cross section,"calculated, normalized"
8.00E-04,1.47,0.030429,2.003368771,2.003368771
8.60E-04,1.546,0.047926,1.955913856,1.955913856
9.40E-04,1.525,0.04758,1.898785182,1.898785182
1.10E-03,1.459,0.035016,1.801120214,1.801120214
1.30E-03,1.391,0.0190567,1.701872758,1.701872758
1.50E-03,1.317,0.0268668,1.620551777,1.620551777
2.00E-03,1.234,0.0139442,1.468628128,1.468628128
3.20E-03,1.077,0.0120624,1.247006216,1.247006216
5.00E-03,0.932,0.0108112,1.063277379,1.063277379
8.00E-03,0.819,0.010647,0.887450445,0.887450445
1.30E-02,0.705,0.0095175,0.8107326428,0.8107326428
2.00E-02,0.631,0.0090233,0.8100377465,0.8100377465
3.20E-02,0.552,0.0084456,0.8092272248,0.8092272248
5.00E-02,0.509,0.0114016,0.8085624525,0.8085624525
0.13,0.395,0.0226335,0.8075084481,0.8075084481
