q2	x	cme	f2	fl	redx
1.5	1e-06	319.0	1.0682119701917603	0.23741513977138354	0.8307968304203768
1.5	1.4677992676220705e-06	319.0	1.0204540774666908	0.24278465287357773	0.7776694245931131
1.5	2.1544346900318822e-06	319.0	0.9737552699406802	0.25475414722234185	0.7190011227183384
1.5	3.162277660168379e-06	319.0	0.9282511482157723	0.2762918054516692	0.6519593427641031
1.5	4.641588833612782e-06	319.0	0.8840358323683185	0.3083577330608952	0.5756780993074233
1.5	6.8129206905796085e-06	319.0	0.8410555604906949	0.33325409669080625	0.5078014637998887
1.5	1e-05	319.0	0.7993346802324676	0.283806075335507	0.5155286048969605
1.5	1.4677992676220675e-05	319.0	0.7588967322444077	0.15378671399256919	0.6051100182518385
1.5	2.1544346900318823e-05	319.0	0.7198264745374354	0.061811473068123665	0.6580150014693118
1.5	3.1622776601683795e-05	319.0	0.6821162470726021	0.023351216744408907	0.6587650303281932
1.5	4.641588833612772e-05	319.0	0.6458190183170791	0.009026836767048048	0.636792181550031
1.5	6.812920690579608e-05	319.0	0.6108603686065531	0.003609726368762145	0.607250642237791
1.5	0.0001	319.0	0.5773761866521661	0.0014842290298882844	0.5758919576222777
1.5	0.0001467799267622069	319.0	0.5452007617672644	0.0006223983339015536	0.5445783634333629
1.5	0.00021544346900318823	319.0	0.5144550307380359	0.0002646104515087313	0.5141904202865272
1.5	0.00031622776601683794	319.0	0.4851407902370032	0.00011354267863482553	0.48502724755836835
1.5	0.00046415888336127773	319.0	0.4572569254990963	4.901712528839892e-05	0.4572079083738079
1.5	0.0006812920690579609	319.0	0.43080543889358996	2.1245281341863466e-05	0.4307841936122481
1.5	0.001	319.0	0.40577771505579974	9.231910029549611e-06	0.4057684831457702
1.5	0.0014677992676220691	319.0	0.3821943053738542	4.0185712267637226e-06	0.3821902868026274
1.5	0.002154434690031882	319.0	0.36004670073811545	1.7513400431012795e-06	0.36004494939807236
1.5	0.0031622776601683794	319.0	0.3393889425357539	7.640392866224213e-07	0.3393881784964673
1.5	0.004641588833612777	319.0	0.3203323071839162	3.3375512627075217e-07	0.32033197342878994
1.5	0.006812920690579608	319.0	0.30279168781985716	1.4596822646903002e-07	0.3027915418516307
1.5	0.01	319.0	0.2868107345185227	6.393338970126585e-08	0.286810670585133
1.5	1e-06	318.0	0.9341885651065633	0.20745338091518203	0.7267351841913813
1.5	1.4677992676220705e-06	318.0	0.8924226248977705	0.2120654490966331	0.6803571758011373
1.5	2.1544346900318822e-06	318.0	0.8515828915749172	0.222407079449997	0.6291758121249202
1.5	3.162277660168379e-06	318.0	0.8117879525863614	0.24106791908991076	0.5707200334964506
1.5	4.641588833612782e-06	318.0	0.7731201192163126	0.2689753959284169	0.5041447232878957
1.5	6.8129206905796085e-06	318.0	0.735532374804462	0.29117926431024116	0.4443531104942208
1.5	1e-05	318.0	0.6990460122181867	0.24952390624047732	0.4495221059777094
1.5	1.4677992676220675e-05	318.0	0.6636816185763161	0.1361787769393097	0.5275028416370064
1.5	2.1544346900318823e-05	318.0	0.6295133177108354	0.05487435709713326	0.5746389606137021
1.5	3.1622776601683795e-05	318.0	0.5965344106509467	0.020729977454042904	0.5758044331969038
1.5	4.641588833612772e-05	318.0	0.5647912201656541	0.008008948868887512	0.5567822712967666
1.5	6.812920690579608e-05	318.0	0.5342186636670814	0.0032009600358222645	0.5310177036312591
1.5	0.0001	318.0	0.5049355805650256	0.001315619879612671	0.5036199606854129
1.5	0.0001467799267622069	318.0	0.47679705109364695	0.0005515348671453389	0.47624551622650163
1.5	0.00021544346900318823	318.0	0.4499088386837156	0.00023443640604081534	0.4496744022776748
1.5	0.00031622776601683794	318.0	0.42427251458791615	0.0001005814446056451	0.42417193314331053
1.5	0.00046415888336127773	318.0	0.3998871039053767	4.341762163620429e-05	0.3998436862837405
1.5	0.0006812920690579609	318.0	0.3767543577777542	1.88171142206412e-05	0.37673554066353354
1.5	0.001	318.0	0.3548667417686287	8.17642097009834e-06	0.3548585653476586
1.5	0.0014677992676220691	318.0	0.3342422287825572	3.559020596925555e-06	0.3342386697619603
1.5	0.002154434690031882	318.0	0.3148733773068581	1.551031269999159e-06	0.31487182627558813
1.5	0.0031622776601683794	318.0	0.2968074484164355	6.76643324093167e-07	0.29680677177311143
1.5	0.004641588833612777	318.0	0.28014175721294104	2.955751997521357e-07	0.2801414616377413
1.5	0.006812920690579608	318.0	0.26480187478132117	1.292693631682339e-07	0.264801745511958
1.5	0.01	318.0	0.2508259746320946	5.661912097866845e-08	0.2508259180129736
