y	r	N(r,Y)
0.0	2.9999999999999997e-06	1.521949233307396e-11
0.0	3.1291009577556375e-06	1.6688650461560428e-11
0.0	3.2637576012757556e-06	1.8299473047989068e-11
0.0	3.4042090120114036e-06	2.0065615835562767e-11
0.0	3.550704559961752e-06	2.2002066835113965e-11
0.0	3.703504346427883e-06	2.412503530280219e-11
0.0	3.862879665819886e-06	2.6452728896231292e-11
0.0	4.029113487337261e-06	2.9004687540634677e-11
0.0	4.202500957377734e-06	3.1802560584992534e-11
0.0	4.3833499235665515e-06	3.486999577972938e-11
0.0	4.5719814813367325e-06	3.823297234362144e-11
0.0	4.768730544030612e-06	4.191991198609912e-11
0.0	4.973946437534918e-06	4.596190095185193e-11
0.0	5.187993520505251e-06	5.039313411003832e-11
0.0	5.411251831281018e-06	5.525102597658815e-11
0.0	5.644117762639461e-06	6.057665480341257e-11
0.0	5.887004765586915e-06	6.641498462300888e-11
0.0	6.140344083436685e-06	7.281530933767044e-11
0.0	6.404585517476965e-06	7.98316968086965e-11
0.0	6.680198225588353e-06	8.752321090099713e-11
0.0	6.967671555228688e-06	9.595491068381534e-11
0.0	7.267515912264268e-06	1.051977394084247e-10
0.0	7.580263667190167e-06	1.1532974575345634e-10
0.0	7.906470100348338e-06	1.2643630586950394e-10
0.0	8.2467143878221e-06	1.386110115575434e-10
0.0	8.601600629757127e-06	1.5195655844735256e-10
0.0	8.97175892293484e-06	1.6658530110902348e-10
0.0	9.3578464795027e-06	1.8262036327598707e-10
0.0	9.760548793847392e-06	2.0019674806803778e-10
0.0	1.0180580859682836e-05	2.1946267025896304e-10
0.0	1.0618688439514093e-05	2.4057988934345076e-10
0.0	1.1075649388730775e-05	2.6372637407234834e-10
0.0	1.1552275036681039e-05	2.890966355195701e-10
0.0	1.2049411627178395e-05	3.16904058550449e-10
0.0	1.2567941820998635e-05	3.4738234511166866e-10
0.0	1.3108786263034654e-05	3.80787845699615e-10
0.0	1.3672905216891896e-05	4.1740100265030833e-10
0.0	1.4261300269826188e-05	4.575294587638723e-10
0.0	1.4875016111051287e-05	5.015102777505831e-10
0.0	1.551514238657371e-05	5.497124977438261e-10
0.0	1.6182815633847658e-05	6.025409060583797e-10
0.0	1.6879221299685207e-05	6.604385927033718e-10
0.0	1.760559584500481e-05	7.238912802520758e-10
0.0	1.8363228940154412e-05	7.934310986001947e-10
0.0	1.9153465754707738e-05	8.696411368802615e-10
0.0	1.9977709345798634e-05	9.531598843537381e-10
0.0	2.083742314923409e-05	1.0446873366376508e-09
0.0	2.1734133577809298e-05	1.1449899917082007e-09
0.0	2.2669432731437386e-05	1.2549079553281217e-09
0.0	2.3644981223905912e-05	1.3753612693179207e-09
0.0	2.4662511131279353e-05	1.5073581272062597e-09
0.0	2.5723829067181817e-05	1.6520026457911285e-09
0.0	2.683081939042031e-05	1.8105048571470661e-09
0.0	2.7985447550644247e-05	1.9841900344985675e-09
0.0	2.9189763577980414e-05	2.17450979445033e-09
0.0	3.0445905722839716e-05	2.3830546425074317e-09
0.0	3.1756104252358535e-05	2.6115667406401144e-09
0.0	3.312268541021439e-05	2.861954340183104e-09
0.0	3.454807554684684e-05	3.1363078800694666e-09
0.0	3.603480542741753e-05	3.4369168622205848e-09
0.0	3.758551472515682e-05	3.7662895024936915e-09
0.0	3.920295670807561e-05	4.127172825718617e-09
0.0	4.0890003127364066e-05	4.5225757583367e-09
0.0	4.2649649316155386e-05	4.95579399739654e-09
0.0	4.448501950770797e-05	5.4304373220404045e-09
0.0	4.639937238244908e-05	5.950459014414378e-09
0.0	4.839610685372739e-05	6.520189388403708e-09
0.0	5.047876810254753e-05	7.1443706506357785e-09
0.0	5.265105387200207e-05	7.828196757486694e-09
0.0	5.491682103257522e-05	8.577355603556214e-09
0.0	5.7280092429975356e-05	9.398076983302417e-09
0.0	5.974506402765579e-05	1.0297182884144718e-08
0.0	6.231611235670332e-05	1.1282144440905029e-08
0.0	6.499780228632277e-05	1.2361143109096417e-08
0.0	6.779489512871472e-05	1.3543138499549912e-08
0.0	7.071235709273488e-05	1.4837941764156426e-08
0.0	7.375536810134513e-05	1.625629664214756e-08
0.0	7.692933098851289e-05	1.780996738975915e-08
0.0	8.023988109188553e-05	1.9511836479857436e-08
0.0	8.369289625827251e-05	2.1376009184947975e-08
0.0	8.729450727970124e-05	2.3417930705704748e-08
0.0	9.10511087785734e-05	2.5654512292305753e-08
0.0	9.496937056124893e-05	2.810427035537799e-08
0.0	9.905624946021803e-05	3.078747823348493e-08
0.0	0.00010331900168588338	3.372633283760251e-08
0.0	0.0001077651957098847	3.6945135950539054e-08
0.0	0.00011240272570284132	4.0470494178102e-08
0.0	0.00011723982555036855	4.4331536108721536e-08
0.0	0.00012228508347225406	4.856015156651239e-08
0.0	0.00012754745727075275	5.3191251514483895e-08
0.0	0.00013303629023506981	5.826305460310266e-08
0.0	0.00013876132773027133	6.381739880989556e-08
0.0	0.00014473273450007866	6.990008383223056e-08
0.0	0.00015096111271426313	7.656124445531987e-08
0.0	0.00015745752079268587	8.385576022451602e-08
0.0	0.0001642334930394072	9.184370319825774e-08
0.0	0.0001713010601217213	1.0059082722335688e-07
0.0	0.0001786727704304784	1.10169104061697e-07
0.0	0.00018636171235962071	1.2065730969901267e-07
0.0	0.00019438153754449032	1.3214166516561932e-07
0.0	0.00020274648510015974	1.4471653875247625e-07
0.0	0.00021147140690283263	1.5848521239814062e-07
0.0	0.00022057179395919564	1.7356072168350778e-07
0.0	0.0002300638039105332	1.900667737642081e-07
0.0	0.00023996428972045155	2.0813875156733275e-07
0.0	0.0002502908295971388	2.2792481224609418e-07
0.0	0.0002610617582032872	2.4958708810807195e-07
0.0	0.0002722961992090922	2.7330300089722925e-07
0.0	0.00028401409924613016	2.9926669853352905e-07
0.0	0.00029623626332239076	3.2769062652260317e-07
0.0	0.0003089843917613481	3.588072463589498e-07
0.0	0.00032228111873065915	3.928709148004472e-07
0.0	0.00033615005242888834	4.3015993889117254e-07
0.0	0.00035061581700161445	4.7097882327484797e-07
0.0	0.0003657040962613424	5.156607266743052e-07
0.0	0.0003814416792888425	5.645701489642718e-07
0.0	0.000397856507996879	6.181058684884277e-07
0.0	0.0004149777267407826	6.767041532684814e-07
0.0	0.0004328357340639471	7.408422727506192e-07
0.0	0.00045146223667012086	8.110423359575236e-07
0.0	0.0004708903057183259	8.87875487909362e-07
0.0	0.0004911544355403534	9.719664975094133e-07
0.0	0.0005122906048850836	1.0639987717553367e-06
0.0	0.0005343363407983772	1.1647198374653556e-06
0.0	0.0005573307852519483	1.274947333040899e-06
0.0	0.000581314764639525	1.395575557339157e-06
0.0	0.0006063308622636774	1.5275826272809212e-06
0.0	0.000632423493942025	1.672038301259171e-06
0.0	0.000659638986867053	1.830112528411476e-06
0.0	0.000688025661859552	2.003084792367993e-06
0.0	0.000717633919161727	2.192354321639556e-06
0.0	0.0007485163279222979	2.3994512472480523e-06
0.0	0.0007807277195324659	2.6260487949736344e-06
0.0	0.0008143252849784713	2.8739766068097694e-06
0.0	0.00084936867638359	3.145235297097315e-06
0.0	0.000885920112919844	3.4420123553591253e-06
0.0	0.0009240444912774898	3.766699521290384e-06
0.0	0.0009638095008884048	4.12191176579757e-06
0.0	0.0010052857441079646	4.51050802730002e-06
0.0	0.0010485468615687745	4.935613862500077e-06
0.0	0.0010936696629288403	5.400646189812619e-06
0.0	0.0011407342632463076	5.909340315080058e-06
0.0	0.0011898242252228988	6.46577945073723e-06
0.0	0.0012410267075686108	7.074426954689628e-06
0.0	0.0012944326197510897	7.74016154070356e-06
0.0	0.001350136783404426	8.468315729648346e-06
0.0	0.0014082381006839686	9.264717838908254e-06
0.0	0.0014688397298660634	1.013573783370525e-05
0.0	0.0015320492685044786	1.1088337392495262e-05
0.0	0.0015979789444687295	1.2130124570242096e-05
0.0	0.0016667458152034831	1.3269413479566339e-05
0.0	0.0017384719755628084	1.4515289447958324e-05
0.0	0.0018132847745883065	1.58776801462146e-05
0.0	0.001891317041615997	1.7367433235104812e-05
0.0	0.001972707322113394	1.8996401120130457e-05
0.0	0.0020576001236655285	2.0777533461524555e-05
0.0	0.0021461461725466413	2.2724978141708263e-05
0.0	0.0022385026813330996	2.485419145803469e-05
0.0	0.002334833628032657	2.718205837715093e-05
0.0	0.002435310047225686	2.9727023760139915e-05
0.0	0.0025401103337352763	3.25092355514256e-05
0.0	0.002649420559365351	3.5550701013131736e-05
0.0	0.0027634348032691994	3.887545718084251e-05
