#: table_doi: 10.17182/hepdata.58304.v1/t35
#: name: Table 35
#: description: Combined reduced cross section data and F2 for Neutral Current  E+ P scattering at Q**2=250. GeV**2.

#: data_file: Table35.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG | F2
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],250.0
#: RE,E+ P --> E+ X
X,Y,Ecm,SIG(C=REDUCED),stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -,"sys,overall normalisation uncertainty. +","sys,overall normalisation uncertainty. -"
0.0033,0.749,319.0,1.247,2.5%,-2.5%,2.7%,-2.7%,1.23%,-1.23%,0.08%,-0.08%,0.03%,-0.03%,-0.12%,0.12%,0.5%,-0.5%
0.005,0.554,301.0,1.079,2.29%,-2.29%,1.61%,-1.61%,0.97%,-0.97%,1.02%,-1.02%,0.06%,-0.06%,0.18%,-0.18%,0.5%,-0.5%
0.005,0.494,319.0,1.102,1.61%,-1.61%,2.1%,-2.1%,0.9%,-0.9%,0.07%,-0.07%,0.02%,-0.02%,-0.12%,0.12%,0.5%,-0.5%
0.008,0.309,319.0,0.953,1.04%,-1.04%,0.69%,-0.69%,0.72%,-0.72%,0.32%,-0.32%,0.03%,-0.03%,0.03%,-0.03%,0.5%,-0.5%
0.013,0.19,319.0,0.825,1.07%,-1.07%,0.64%,-0.64%,0.71%,-0.71%,0.11%,-0.11%,0.04%,-0.04%,0.21%,-0.21%,0.5%,-0.5%
0.02,0.124,319.0,0.701,1.18%,-1.18%,0.79%,-0.79%,0.7%,-0.7%,0.2%,-0.2%,0.03%,-0.03%,0.1%,-0.1%,0.5%,-0.5%
0.032,0.077,319.0,0.592,1.25%,-1.25%,0.85%,-0.85%,0.74%,-0.74%,0.35%,-0.35%,0.03%,-0.03%,0.31%,-0.31%,0.5%,-0.5%
0.05,0.049,319.0,0.521,1.22%,-1.22%,0.8%,-0.8%,0.74%,-0.74%,0.1%,-0.1%,0.03%,-0.03%,0.26%,-0.26%,0.5%,-0.5%
0.08,0.031,319.0,0.432,1.18%,-1.18%,0.64%,-0.64%,0.97%,-0.97%,0.14%,-0.14%,0.05%,-0.05%,0.17%,-0.17%,0.5%,-0.5%
0.13,0.019,319.0,0.342,1.77%,-1.77%,2.68%,-2.68%,0.93%,-0.93%,0.54%,-0.54%,0.01%,-0.01%,0.35%,-0.35%,0.5%,-0.5%
0.18,0.014,319.0,0.325,1.7%,-1.7%,0.78%,-0.78%,1.29%,-1.29%,0.79%,-0.79%,0.01%,-0.01%,0.46%,-0.46%,0.5%,-0.5%
0.25,0.01,319.0,0.263,2.13%,-2.13%,3.68%,-3.68%,2.21%,-2.21%,2.16%,-2.16%,-0.03%,0.03%,0.0%,-0.0%,0.5%,-0.5%
0.4,0.006,319.0,0.14,3.13%,-3.13%,3.97%,-3.97%,4.32%,-4.32%,3.26%,-3.26%,-0.08%,0.08%,-0.7%,0.7%,0.5%,-0.5%

#: Q**2 [GeV^2],250.0
#: RE,E+ P --> E+ X
X,Y,Ecm, F2,"sys,overall normalisation uncertainty. +","sys,overall normalisation uncertainty. -"
0.0033,0.749,319.0,-,0,0
0.005,0.554,301.0,1.123,0.5%,-0.5%
0.005,0.494,319.0,1.148,0.5%,-0.5%
0.008,0.309,319.0,0.964,0.5%,-0.5%
0.013,0.19,319.0,0.828,0.5%,-0.5%
0.02,0.124,319.0,0.701,0.5%,-0.5%
0.032,0.077,319.0,0.591,0.5%,-0.5%
0.05,0.049,319.0,0.521,0.5%,-0.5%
0.08,0.031,319.0,0.432,0.5%,-0.5%
0.13,0.019,319.0,0.341,0.5%,-0.5%
0.18,0.014,319.0,0.325,0.5%,-0.5%
0.25,0.01,319.0,0.263,0.5%,-0.5%
0.4,0.006,319.0,0.139,0.5%,-0.5%

