#: table_doi: 10.17182/hepdata.58304.v1/t81
#: name: Table 81
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E- P scattering at Q**2=500. GeV**2.

#: data_file: Table81.yaml
#: keyword reactions: E- P --> NUE X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],500.0
#: RE,E- P --> NUE X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.013,0.38,319.0,0.477,27.75%,-27.75%,7.42%,-7.42%,6.96%,-6.96%,1.64%,-1.64%,-0.03%,0.03%,0.18%,-0.18%
0.032,0.154,319.0,0.249,17.39%,-17.39%,4.45%,-4.45%,3.94%,-3.94%,2.27%,-2.27%,-0.12%,0.12%,0.51%,-0.51%
0.08,0.062,319.0,0.0764,19.54%,-19.54%,4.5%,-4.5%,2.36%,-2.36%,-0.28%,0.28%,0.0%,-0.0%,0.58%,-0.58%
0.13,0.038,319.0,0.0545,29.14%,-29.14%,6.5%,-6.5%,1.99%,-1.99%,-0.4%,0.4%,-0.01%,0.01%,0.89%,-0.89%

#: Q**2 [GeV^2],500.0
#: RE,E- P --> NUE X
X,Y,Ecm, SIG(C=REDUCED)
0.013,0.38,319.0,0.854
0.032,0.154,319.0,1.097
0.08,0.062,319.0,0.841
0.13,0.038,319.0,0.976

