#: table_doi: 10.17182/hepdata.58304.v1/t77
#: name: Table 77
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E+ P scattering at Q**2=5000. GeV**2.

#: data_file: Table77.yaml
#: keyword reactions: E+ P --> NUEBAR X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],5000.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.08,0.618,319.0,0.00826,8.94%,-8.94%,2.3%,-2.3%,1.73%,-1.73%,0.66%,-0.66%,0.04%,-0.04%,-0.08%,0.08%
0.13,0.38,319.0,0.00482,7.32%,-7.32%,1.83%,-1.83%,1.18%,-1.18%,0.61%,-0.61%,0.02%,-0.02%,0.0%,-0.0%
0.25,0.198,319.0,0.00175,8.63%,-8.63%,1.98%,-1.98%,1.48%,-1.48%,0.93%,-0.93%,0.0%,-0.0%,0.51%,-0.51%
0.4,0.124,319.0,0.000462,16.59%,-16.59%,3.98%,-3.98%,2.24%,-2.24%,2.48%,-2.48%,-0.03%,0.03%,0.47%,-0.47%

#: Q**2 [GeV^2],5000.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm, SIG(C=REDUCED)
0.08,0.618,319.0,0.246
0.13,0.38,319.0,0.234
0.25,0.198,319.0,0.163
0.4,0.124,319.0,0.069

