#: table_doi: 10.17182/hepdata.58304.v1/t88
#: name: Table 88
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E- P scattering at Q**2=15000. GeV**2.

#: data_file: Table88.yaml
#: keyword reactions: E- P --> NUE X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],15000.0
#: RE,E- P --> NUE X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.25,0.593,319.0,0.00133,16.39%,-16.39%,6.52%,-6.52%,3.49%,-3.49%,0.27%,-0.27%,0.01%,-0.01%,-0.83%,0.83%
0.4,0.371,319.0,0.000372,23.55%,-23.55%,5.91%,-5.91%,3.33%,-3.33%,1.54%,-1.54%,0.01%,-0.01%,-1.36%,1.36%

#: Q**2 [GeV^2],15000.0
#: RE,E- P --> NUE X
X,Y,Ecm, SIG(C=REDUCED)
0.25,0.593,319.0,0.434
0.4,0.371,319.0,0.195

