#: table_doi: 10.17182/hepdata.58304.v1/t75
#: name: Table 75
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E+ P scattering at Q**2=2000. GeV**2.

#: data_file: Table75.yaml
#: keyword reactions: E+ P --> NUEBAR X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],2000.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.032,0.618,319.0,0.0806,7.67%,-7.67%,3.18%,-3.18%,1.84%,-1.84%,0.53%,-0.53%,0.03%,-0.03%,0.24%,-0.24%
0.08,0.247,319.0,0.0251,7.6%,-7.6%,2.88%,-2.88%,0.94%,-0.94%,0.28%,-0.28%,0.03%,-0.03%,0.3%,-0.3%
0.13,0.152,319.0,0.0146,9.52%,-9.52%,3.79%,-3.79%,1.01%,-1.01%,1.11%,-1.11%,0.03%,-0.03%,0.61%,-0.61%
0.25,0.079,319.0,0.00418,13.93%,-13.93%,5.18%,-5.18%,1.13%,-1.13%,1.58%,-1.58%,0.01%,-0.01%,0.38%,-0.38%

#: Q**2 [GeV^2],2000.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm, SIG(C=REDUCED)
0.032,0.618,319.0,0.524
0.08,0.247,319.0,0.408
0.13,0.152,319.0,0.386
0.25,0.079,319.0,0.212

