#: table_doi: 10.17182/hepdata.58304.v1/t84
#: name: Table 84
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E- P scattering at Q**2=2000. GeV**2.

#: data_file: Table84.yaml
#: keyword reactions: E- P --> NUE X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],2000.0
#: RE,E- P --> NUE X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.032,0.618,319.0,0.131,15.55%,-15.55%,4.3%,-4.3%,2.3%,-2.3%,0.35%,-0.35%,0.0%,-0.0%,0.47%,-0.47%
0.08,0.247,319.0,0.0567,13.04%,-13.04%,3.8%,-3.8%,1.51%,-1.51%,-0.11%,0.11%,0.0%,-0.0%,0.31%,-0.31%
0.13,0.152,319.0,0.0197,21.2%,-21.2%,4.4%,-4.4%,1.48%,-1.48%,-0.24%,0.24%,0.0%,-0.0%,0.47%,-0.47%
0.25,0.079,319.0,0.00861,25.51%,-25.51%,6.5%,-6.5%,1.41%,-1.41%,-0.11%,0.11%,0.0%,-0.0%,0.3%,-0.3%

#: Q**2 [GeV^2],2000.0
#: RE,E- P --> NUE X
X,Y,Ecm, SIG(C=REDUCED)
0.032,0.618,319.0,0.854
0.08,0.247,319.0,0.923
0.13,0.152,319.0,0.521
0.25,0.079,319.0,0.438

