#: table_doi: 10.17182/hepdata.58304.v1/t72
#: name: Table 72
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E+ P scattering at Q**2=500. GeV**2.

#: data_file: Table72.yaml
#: keyword reactions: E+ P --> NUEBAR X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],500.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.013,0.38,319.0,0.505,8.09%,-8.09%,2.67%,-2.67%,2.65%,-2.65%,0.75%,-0.75%,-0.02%,0.02%,-0.16%,0.16%
0.032,0.154,319.0,0.168,6.93%,-6.93%,1.84%,-1.84%,1.24%,-1.24%,0.59%,-0.59%,0.0%,-0.0%,0.14%,-0.14%
0.08,0.062,319.0,0.0509,7.36%,-7.36%,1.74%,-1.74%,1.15%,-1.15%,-0.41%,0.41%,0.03%,-0.03%,-0.04%,0.04%
0.13,0.038,319.0,0.0242,11.87%,-11.87%,2.63%,-2.63%,2.13%,-2.13%,0.16%,-0.16%,0.02%,-0.02%,0.22%,-0.22%

#: Q**2 [GeV^2],500.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm, SIG(C=REDUCED)
0.013,0.38,319.0,0.904
0.032,0.154,319.0,0.74
0.08,0.062,319.0,0.561
0.13,0.038,319.0,0.433

