#: table_doi: 10.17182/hepdata.58304.v1/t50
#: name: Table 50
#: description: Combined reduced cross section data and F2 for Neutral Current  E+ P scattering at Q**2=30000. GeV**2.

#: data_file: Table50.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG | F2
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],30000.0
#: RE,E+ P --> E+ X
X,Y,Ecm,SIG(C=REDUCED),stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -,"sys,overall normalisation uncertainty. +","sys,overall normalisation uncertainty. -"
0.4,0.831,301.0,0.11,66.01%,-66.01%,5.29%,-5.29%,1.46%,-1.46%,0.54%,-0.54%,0.0%,-0.0%,0.25%,-0.25%,0.5%,-0.5%
0.4,0.741,319.0,0.086,35.54%,-35.54%,4.75%,-4.75%,13.06%,-13.06%,5.53%,-5.53%,-0.07%,0.07%,0.09%,-0.09%,0.5%,-0.5%

#: Q**2 [GeV^2],30000.0
#: RE,E+ P --> E+ X
X,Y,Ecm, F2
0.4,0.831,301.0,-
0.4,0.741,319.0,-

