#: table_doi: 10.17182/hepdata.58304.v1/t83
#: name: Table 83
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E- P scattering at Q**2=1500. GeV**2.

#: data_file: Table83.yaml
#: keyword reactions: E- P --> NUE X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],1500.0
#: RE,E- P --> NUE X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.032,0.463,319.0,0.155,18.04%,-18.04%,8.8%,-8.8%,2.66%,-2.66%,0.21%,-0.21%,-0.01%,0.01%,0.0%,-0.0%
0.08,0.185,319.0,0.0549,14.02%,-14.02%,3.6%,-3.6%,1.86%,-1.86%,-0.01%,0.01%,-0.01%,0.01%,-0.03%,0.03%
0.13,0.114,319.0,0.0321,18.04%,-18.04%,3.1%,-3.1%,2.24%,-2.24%,-0.15%,0.15%,-0.01%,0.01%,-0.13%,0.13%
0.25,0.059,319.0,0.0102,24.02%,-24.02%,2.05%,-2.05%,2.56%,-2.56%,-0.37%,0.37%,0.0%,-0.0%,-0.11%,0.11%

#: Q**2 [GeV^2],1500.0
#: RE,E- P --> NUE X
X,Y,Ecm, SIG(C=REDUCED)
0.032,0.463,319.0,0.895
0.08,0.185,319.0,0.791
0.13,0.114,319.0,0.752
0.25,0.059,319.0,0.458

