#: table_doi: 10.17182/hepdata.58304.v1/t71
#: name: Table 71
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E+ P scattering at Q**2=300. GeV**2.

#: data_file: Table71.yaml
#: keyword reactions: E+ P --> NUEBAR X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],300.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.008,0.371,319.0,0.136,19.12%,-19.12%,2.8%,-2.8%,3.97%,-3.97%,-1.25%,1.25%,0.01%,-0.01%,0.09%,-0.09%
0.013,0.228,319.0,0.695,8.83%,-8.83%,2.54%,-2.54%,3.59%,-3.59%,0.4%,-0.4%,-0.05%,0.05%,-0.32%,0.32%
0.032,0.093,319.0,0.21,8.09%,-8.09%,1.86%,-1.86%,2.0%,-2.0%,1.2%,-1.2%,0.0%,-0.0%,0.15%,-0.15%
0.08,0.037,319.0,0.0466,10.74%,-10.74%,3.11%,-3.11%,1.68%,-1.68%,0.64%,-0.64%,-0.01%,0.01%,0.36%,-0.36%

#: Q**2 [GeV^2],300.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm, SIG(C=REDUCED)
0.008,0.371,319.0,1.417
0.013,0.228,319.0,1.173
0.032,0.093,319.0,0.875
0.08,0.037,319.0,0.484

