#: table_doi: 10.17182/hepdata.58304.v1/t78
#: name: Table 78
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E+ P scattering at Q**2=8000. GeV**2.

#: data_file: Table78.yaml
#: keyword reactions: E+ P --> NUEBAR X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],8000.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.13,0.608,319.0,0.00175,11.3%,-11.3%,3.6%,-3.6%,3.06%,-3.06%,0.9%,-0.9%,0.05%,-0.05%,-0.13%,0.13%
0.25,0.316,319.0,0.000808,10.68%,-10.68%,3.25%,-3.25%,2.12%,-2.12%,1.51%,-1.51%,0.01%,-0.01%,-0.01%,0.01%
0.4,0.198,319.0,0.000222,19.92%,-19.92%,6.77%,-6.77%,3.35%,-3.35%,1.86%,-1.86%,-0.05%,0.05%,0.42%,-0.42%

#: Q**2 [GeV^2],8000.0
#: RE,E+ P --> NUEBAR X
X,Y,Ecm, SIG(C=REDUCED)
0.13,0.608,319.0,0.135
0.25,0.316,319.0,0.12
0.4,0.198,319.0,0.053

