#: table_doi: 10.17182/hepdata.58304.v1/t80
#: name: Table 80
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E- P scattering at Q**2=300. GeV**2.

#: data_file: Table80.yaml
#: keyword reactions: E- P --> NUE X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],300.0
#: RE,E- P --> NUE X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.013,0.228,319.0,0.393,60.18%,-60.18%,7.49%,-7.49%,11.91%,-11.91%,7.73%,-7.73%,-0.24%,0.24%,0.43%,-0.43%
0.032,0.093,319.0,0.286,22.51%,-22.51%,6.15%,-6.15%,6.22%,-6.22%,6.87%,-6.87%,-0.06%,0.06%,0.45%,-0.45%
0.08,0.037,319.0,0.0632,42.56%,-42.56%,8.72%,-8.72%,6.47%,-6.47%,3.32%,-3.32%,-0.2%,0.2%,0.86%,-0.86%

#: Q**2 [GeV^2],300.0
#: RE,E- P --> NUE X
X,Y,Ecm, SIG(C=REDUCED)
0.013,0.228,319.0,0.663
0.032,0.093,319.0,1.188
0.08,0.037,319.0,0.657

