#: table_doi: 10.17182/hepdata.58304.v1/t87
#: name: Table 87
#: description: Combined double differential cross section and reduced cross section data for Charged Current  E- P scattering at Q**2=8000. GeV**2.

#: data_file: Table87.yaml
#: keyword reactions: E- P --> NUE X
#: keyword observables: DSIG/DX/DQ**2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Single Differential Cross Section | Charged Current | Deep Inelastic Scattering
#: Q**2 [GeV^2],8000.0
#: RE,E- P --> NUE X
X,Y,Ecm,D2(SIG)/DX/DQ**2 [PB/GEV**2],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -,sys_3 +,sys_3 -,sys_4 +,sys_4 -,sys_5 +,sys_5 -
0.13,0.608,319.0,0.00802,12.72%,-12.72%,4.37%,-4.37%,2.16%,-2.16%,0.44%,-0.44%,0.01%,-0.01%,-0.43%,0.43%
0.25,0.316,319.0,0.0038,11.44%,-11.44%,3.23%,-3.23%,1.59%,-1.59%,0.54%,-0.54%,0.0%,-0.0%,-0.34%,0.34%
0.4,0.198,319.0,0.00105,19.41%,-19.41%,4.61%,-4.61%,2.91%,-2.91%,0.99%,-0.99%,0.0%,-0.0%,-0.92%,0.92%

#: Q**2 [GeV^2],8000.0
#: RE,E- P --> NUE X
X,Y,Ecm, SIG(C=REDUCED)
0.13,0.608,319.0,0.619
0.25,0.316,319.0,0.565
0.4,0.198,319.0,0.25

