# redx2009_full data excluding for 0.85 < q2 < 50.
q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
1.5	0.0032	0.005	301.0	0.41200000000000003	2.3	-2.3	2.04	-2.04	1.34	-1.34	0.43	-0.43	0.18	-0.18	-0.61	0.61	0.5	-0.5	3.4404360188790024
2.0	2.47e-05	0.8	319.0	0.7659999999999999	2.33	-2.33	2.7	-2.7	4.62	-4.62	-0.03	0.03	6.2	-6.2	-0.06	0.06	0.5	-0.5	8.515151202415607
2.0	2.9299999999999997e-05	0.675	319.0	0.787	1.49	-1.49	1.65	-1.65	1.53	-1.53	0.06	-0.06	0.93	-0.93	0.02	-0.02	0.5	-0.5	2.855240795449659
2.0	3.27e-05	0.6779999999999999	301.0	0.855	2.66	-2.66	2.13	-2.13	2.86	-2.86	0.81	-0.81	3.72	-3.72	0.56	-0.56	0.5	-0.5	5.882193468426553
2.0	5e-05	0.44299999999999995	301.0	0.8590000000000001	1.31	-1.31	1.64	-1.64	1.2	-1.2	0.44	-0.44	1.55	-1.55	0.39	-0.39	0.5	-0.5	2.931535433863967
2.0	5e-05	0.395	319.0	0.825	1.52	-1.52	1.93	-1.93	0.91	-0.91	0.23	-0.23	0.29	-0.29	0.33	-0.33	0.5	-0.5	2.666327061708672
2.0	8e-05	0.247	319.0	0.764	0.97	-0.97	1.34	-1.34	0.89	-0.89	0.34	-0.34	0.21	-0.21	0.42	-0.42	0.5	-0.5	1.9658840250635337
2.0	0.00013000000000000002	0.152	319.0	0.727	1.1	-1.1	1.3	-1.3	0.98	-0.98	0.32	-0.32	0.17	-0.17	0.31	-0.31	0.5	-0.5	2.021830853459309
2.0	0.0002	0.099	319.0	0.684	1.12	-1.12	1.32	-1.32	1.12	-1.12	0.42	-0.42	0.31	-0.31	-0.05	0.05	0.5	-0.5	2.127486780217448
2.0	0.00032	0.062	319.0	0.631	1.01	-1.01	1.65	-1.65	1.23	-1.23	0.27	-0.27	0.13	-0.13	0.38	-0.38	0.5	-0.5	2.343010883457437
2.0	0.0005	0.04	319.0	0.578	1.17	-1.17	2.04	-2.04	1.3	-1.3	0.25	-0.25	-0.13	0.13	0.4	-0.4	0.5	-0.5	2.731281750387536
2.0	0.001	0.02	319.0	0.512	0.98	-0.98	1.79	-1.79	1.0	-1.0	0.28	-0.28	0.08	-0.08	-0.11	0.11	0.5	-0.5	2.2937741824338334
2.0	0.0032	0.006	319.0	0.428	1.07	-1.07	1.89	-1.89	1.4	-1.4	0.4	-0.4	0.17	-0.17	-0.84	0.84	0.5	-0.5	2.7516358770738543
2.7	3.09e-05	0.8640000000000001	319.0	0.855	2.47	-2.47	2.67	-2.67	3.33	-3.33	0.06	-0.06	4.62	-4.62	0.25	-0.25	0.5	-0.5	6.762336874187797
2.7	3.66e-05	0.7290000000000001	319.0	0.8809999999999999	2.29	-2.29	2.29	-2.29	1.72	-1.72	0.09	-0.09	2.19	-2.19	0.05	-0.05	0.5	-0.5	4.272388090986119
2.7	4.09e-05	0.732	301.0	0.975	1.54	-1.54	6.21	-6.21	1.93	-1.93	0.57	-0.57	4.64	-4.64	0.61	-0.61	0.5	-0.5	8.17845951264662
2.7	5e-05	0.599	301.0	0.894	1.06	-1.06	1.27	-1.27	1.3	-1.3	0.77	-0.77	2.43	-2.43	0.54	-0.54	0.5	-0.5	3.3490147804988863
2.7	5e-05	0.534	319.0	0.882	1.51	-1.51	1.65	-1.65	0.93	-0.93	0.17	-0.17	0.41	-0.41	0.1	-0.1	0.5	-0.5	2.4646500765828807
2.7	8e-05	0.374	301.0	0.892	3.28	-3.28	1.0	-1.0	1.81	-1.81	0.39	-0.39	0.65	-0.65	0.75	-0.75	0.5	-0.5	4.021392793548026
2.7	8e-05	0.33299999999999996	319.0	0.8859999999999999	0.72	-0.72	1.03	-1.03	0.73	-0.73	0.29	-0.29	0.4	-0.4	0.3	-0.3	0.5	-0.5	1.5640652160316075
2.7	0.00013000000000000002	0.205	319.0	0.804	0.62	-0.62	0.87	-0.87	0.69	-0.69	0.4	-0.4	-0.02	0.02	0.24	-0.24	0.5	-0.5	1.3547693530634652
2.7	0.0002	0.133	319.0	0.78	0.76	-0.76	1.61	-1.61	0.83	-0.83	0.3	-0.3	0.28	-0.28	0.1	-0.1	0.5	-0.5	2.00922870773837
2.7	0.00032	0.083	319.0	0.7020000000000001	0.84	-0.84	1.27	-1.27	0.86	-0.86	0.44	-0.44	0.2	-0.2	0.09	-0.09	0.5	-0.5	1.81653516343615
2.7	0.0005	0.053	319.0	0.647	0.69	-0.69	1.35	-1.35	0.96	-0.96	0.33	-0.33	0.06	-0.06	0.3	-0.3	0.5	-0.5	1.8500540532643903
2.7	0.0008	0.033	319.0	0.596	0.87	-0.87	1.84	-1.84	0.8	-0.8	0.28	-0.28	0.1	-0.1	0.2	-0.2	0.5	-0.5	2.2160550534677608
2.7	0.0013	0.021	319.0	0.57	0.68	-0.68	1.63	-1.63	0.9	-0.9	0.33	-0.33	0.04	-0.04	-0.16	0.16	0.5	-0.5	2.0162837101955664
