	qsq2	cme	x	sig	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
27	0.4	318.0	2.2e-05	0.33399999999999996	1.45	-1.45	0.78	-0.78	1.86	-1.86	1.28	-1.28	0.64	-0.64	-0.34	0.34	0.38	-0.38	0.0	-0.0	0.0	-0.0	0.01	-0.01
28	0.4	318.0	3.68e-05	0.33	1.26	-1.26	0.77	-0.77	2.52	-2.52	2.58	-2.58	0.65	-0.65	-0.84	0.84	1.12	-1.12	-0.01	0.01	-0.02	0.02	0.01	-0.01
29	0.4	318.0	8.83e-05	0.32	2.72	-2.72	1.5	-1.5	1.57	-1.57	1.03	-1.03	0.48	-0.48	-0.23	0.23	0.41	-0.41	0.0	-0.0	0.0	-0.0	0.01	-0.01
30	0.4	318.0	0.000176	0.287	2.79	-2.79	1.5	-1.5	1.76	-1.76	0.68	-0.68	0.49	-0.49	-0.16	0.16	0.22	-0.22	0.0	-0.0	0.01	-0.01	0.01	-0.01
31	0.4	318.0	0.000294	0.27699999999999997	2.75	-2.75	1.5	-1.5	1.66	-1.66	1.03	-1.03	0.47	-0.47	-0.3	0.3	0.74	-0.74	0.0	-0.0	0.0	-0.0	0.01	-0.01
32	0.4	318.0	0.0006309999999999999	0.26	2.74	-2.74	1.5	-1.5	2.06	-2.06	1.33	-1.33	0.43	-0.43	-0.32	0.32	0.54	-0.54	0.0	-0.0	0.0	-0.0	0.01	-0.01
33	0.5	318.0	7.32e-06	0.428	5.55	-5.55	5.74	-5.74	4.16	-4.16	-0.02	0.02	4.04	-4.04	0.31	-0.31	1.9	-1.9	-0.05	0.05	-0.01	0.01	0.05	-0.05
34	0.5	318.0	1.58e-05	0.426	3.53	-3.53	1.48	-1.48	2.38	-2.38	1.22	-1.22	0.46	-0.46	-0.2	0.2	0.7	-0.7	0.0	-0.0	0.0	-0.0	0.0	-0.0
35	0.5	318.0	2.12e-05	0.39	2.06	-2.06	0.8	-0.8	2.01	-2.01	1.07	-1.07	0.58	-0.58	0.21	-0.21	0.33	-0.33	0.0	-0.0	0.0	-0.0	0.01	-0.01
36	0.5	318.0	2.7600000000000003e-05	0.377	1.71	-1.71	0.76	-0.76	2.0	-2.0	1.38	-1.38	0.64	-0.64	-0.18	0.18	0.31	-0.31	0.0	-0.0	0.0	-0.0	0.01	-0.01
37	0.5	318.0	3.98e-05	0.364	1.48	-1.48	0.81	-0.81	2.6	-2.6	2.64	-2.64	0.85	-0.85	-0.97	0.97	1.03	-1.03	-0.01	0.01	-0.01	0.01	0.01	-0.01
38	0.5	318.0	0.0001	0.348	1.74	-1.74	1.45	-1.45	1.57	-1.57	0.65	-0.65	0.54	-0.54	-0.07	0.07	0.73	-0.73	0.0	-0.0	0.01	-0.01	0.01	-0.01
39	0.5	318.0	0.000251	0.308	1.87	-1.87	1.43	-1.43	1.62	-1.62	0.36	-0.36	0.38	-0.38	0.01	-0.01	0.02	-0.02	0.0	-0.0	0.01	-0.01	0.01	-0.01
40	0.5	318.0	0.000368	0.3	2.03	-2.03	1.5	-1.5	1.68	-1.68	0.83	-0.83	0.43	-0.43	-0.12	0.12	0.35	-0.35	0.0	-0.0	0.0	-0.0	0.01	-0.01
41	0.5	318.0	0.0008	0.287	2.05	-2.05	1.38	-1.38	1.54	-1.54	0.98	-0.98	0.37	-0.37	-0.27	0.27	0.09	-0.09	0.0	-0.0	0.0	-0.0	0.01	-0.01
42	0.5	318.0	0.0032	0.182	11.38	-11.38	6.39	-6.39	1.3	-1.3	0.38	-0.38	-0.4	0.4	-0.77	0.77	-0.48	0.48	-0.01	0.01	0.01	-0.01	0.08	-0.08
43	0.65	318.0	9.52e-06	0.46399999999999997	4.02	-4.02	2.9	-2.9	2.57	-2.57	0.22	-0.22	2.36	-2.36	-0.1	0.1	1.52	-1.52	-0.04	0.04	0.0	-0.0	0.04	-0.04
44	0.65	318.0	1.58e-05	0.462	3.1	-3.1	5.44	-5.44	1.56	-1.56	0.4	-0.4	0.34	-0.34	-0.41	0.41	0.15	-0.15	-0.02	0.02	0.01	-0.01	0.05	-0.05
45	0.65	318.0	3.98e-05	0.47200000000000003	2.73	-2.73	0.68	-0.68	2.37	-2.37	1.26	-1.26	0.55	-0.55	0.15	-0.15	0.46	-0.46	0.0	-0.0	0.0	-0.0	0.0	-0.0
46	0.65	318.0	5.98e-05	0.41600000000000004	1.99	-1.99	0.74	-0.74	3.16	-3.16	2.93	-2.93	0.6	-0.6	-0.67	0.67	1.56	-1.56	0.0	-0.0	-0.01	0.01	0.01	-0.01
47	0.65	318.0	0.0001	0.409	2.09	-2.09	1.47	-1.47	2.04	-2.04	0.93	-0.93	0.66	-0.66	-0.19	0.19	1.59	-1.59	0.0	-0.0	0.0	-0.0	0.01	-0.01
