	qsq2	cme	x	sig	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
117	3.5	318.0	0.0005	0.7490000000000001	0.76	-0.76	1.17	-1.17	0.89	-0.89	0.37	-0.37	-0.23	0.23	-0.26	0.26	0.3	-0.3	0.0	-0.0	0.03	-0.03	0.05	-0.05
118	3.5	318.0	0.0008	0.659	0.67	-0.67	1.16	-1.16	0.91	-0.91	0.37	-0.37	0.15	-0.15	-0.17	0.17	0.2	-0.2	0.0	-0.0	0.03	-0.03	0.05	-0.05
119	3.5	318.0	0.0013	0.623	0.87	-0.87	1.38	-1.38	0.97	-0.97	0.42	-0.42	-0.27	0.27	0.0	-0.0	0.12	-0.12	0.0	-0.0	0.02	-0.02	0.07	-0.07
120	3.5	318.0	0.002	0.568	0.51	-0.51	0.87	-0.87	0.85	-0.85	0.44	-0.44	-0.11	0.11	-0.16	0.16	-0.02	0.02	0.01	-0.01	0.02	-0.02	0.11	-0.11
121	3.5	318.0	0.008	0.462	0.59	-0.59	1.12	-1.12	1.11	-1.11	0.45	-0.45	-0.15	0.15	-0.36	0.36	-0.48	0.48	0.01	-0.01	-0.02	0.02	0.21	-0.21
122	4.5	318.0	5.22e-05	0.9159999999999999	6.4	-6.4	4.13	-4.13	1.2	-1.2	1.15	-1.15	-0.29	0.29	-0.48	0.48	-0.05	0.05	-1.15	1.15	-0.01	0.01	-0.11	0.11
123	4.5	318.0	5.920000000000001e-05	0.971	2.84	-2.84	2.87	-2.87	1.01	-1.01	0.56	-0.56	-0.23	0.23	-0.46	0.46	-0.05	0.05	-0.43	0.43	-0.01	0.01	-0.19	0.19
124	4.5	318.0	6.18e-05	0.97	2.97	-2.97	2.73	-2.73	2.94	-2.94	1.0	-1.0	-3.82	3.82	-0.9	0.9	-2.59	2.59	-0.18	0.18	0.0	-0.0	0.03	-0.03
125	4.5	318.0	6.829999999999999e-05	1.08	1.67	-1.67	2.23	-2.23	0.98	-0.98	0.7	-0.7	-0.23	0.23	-0.33	0.33	-0.05	0.05	-0.33	0.33	-0.01	0.01	-0.17	0.17
126	4.5	318.0	7.32e-05	1.0190000000000001	1.6	-1.6	2.21	-2.21	1.1	-1.1	0.43	-0.43	-0.8	0.8	0.04	-0.04	-0.67	0.67	-0.04	0.04	0.01	-0.01	0.01	-0.01
127	4.5	318.0	8.18e-05	1.08	10.38	-10.38	11.67	-11.67	1.17	-1.17	0.69	-0.69	-0.2	0.2	-0.2	0.2	-0.03	0.03	-0.08	0.08	0.02	-0.02	-0.09	0.09
128	4.5	318.0	0.00013000000000000002	1.02	1.2	-1.2	0.91	-0.91	0.81	-0.81	0.55	-0.55	-0.32	0.32	-0.19	0.19	-0.02	0.02	-0.1	0.1	0.04	-0.04	-0.02	0.02
129	4.5	318.0	0.0002	0.961	0.74	-0.74	0.91	-0.91	0.83	-0.83	0.51	-0.51	0.0	-0.0	-0.3	0.3	0.32	-0.32	0.01	-0.01	0.01	-0.01	0.05	-0.05
130	4.5	318.0	0.00032	0.893	0.8	-0.8	0.96	-0.96	0.79	-0.79	0.35	-0.35	-0.01	0.01	-0.23	0.23	0.03	-0.03	0.0	-0.0	0.02	-0.02	0.08	-0.08
131	4.5	318.0	0.0005	0.797	0.83	-0.83	0.89	-0.89	0.86	-0.86	0.56	-0.56	-0.01	0.01	-0.27	0.27	0.06	-0.06	0.0	-0.0	0.02	-0.02	0.08	-0.08
132	4.5	318.0	0.0008	0.72	0.82	-0.82	1.29	-1.29	0.88	-0.88	0.33	-0.33	0.04	-0.04	-0.14	0.14	0.3	-0.3	0.0	-0.0	0.03	-0.03	0.05	-0.05
133	4.5	318.0	0.0013	0.665	0.85	-0.85	1.31	-1.31	0.97	-0.97	0.38	-0.38	-0.07	0.07	0.02	-0.02	0.42	-0.42	0.0	-0.0	0.03	-0.03	0.06	-0.06
134	4.5	318.0	0.002	0.615	0.88	-0.88	1.31	-1.31	0.91	-0.91	0.35	-0.35	0.31	-0.31	-0.24	0.24	0.18	-0.18	0.0	-0.0	0.03	-0.03	0.04	-0.04
135	4.5	318.0	0.0032	0.5720000000000001	0.67	-0.67	1.23	-1.23	0.97	-0.97	0.41	-0.41	-0.17	0.17	-0.33	0.33	-0.09	0.09	0.0	-0.0	0.03	-0.03	0.08	-0.08
137	6.5	318.0	7.54e-05	1.117	6.27	-6.27	4.15	-4.15	1.14	-1.14	0.64	-0.64	-0.18	0.18	-0.42	0.42	-0.02	0.02	0.04	-0.04	-0.02	0.02	-0.27	0.27
138	6.5	318.0	8.03e-05	1.085	3.1	-3.1	2.64	-2.64	2.25	-2.25	0.56	-0.56	-2.84	2.84	-0.01	0.01	-1.89	1.89	-0.11	0.11	0.0	-0.0	0.03	-0.03
139	6.5	318.0	8.55e-05	1.097	2.29	-2.29	2.61	-2.61	1.16	-1.16	1.78	-1.78	-0.28	0.28	-0.45	0.45	-0.05	0.05	-0.69	0.69	-0.01	0.01	0.05	-0.05
140	6.5	318.0	9.51e-05	1.084	2.62	-2.62	2.28	-2.28	1.37	-1.37	0.91	-0.91	-1.47	1.47	-0.04	0.04	-1.12	1.12	0.08	-0.08	0.01	-0.01	0.02	-0.02
141	6.5	318.0	9.86e-05	1.177	1.94	-1.94	2.19	-2.19	0.91	-0.91	0.99	-0.99	-0.22	0.22	-0.32	0.32	-0.03	0.03	-0.22	0.22	-0.01	0.01	-0.18	0.18
142	6.5	318.0	0.00013000000000000002	1.113	1.08	-1.08	1.37	-1.37	0.8	-0.8	0.49	-0.49	-0.17	0.17	-0.12	0.12	-0.08	0.08	0.01	-0.01	0.0	-0.0	-0.11	0.11
143	6.5	318.0	0.0002	1.112	0.93	-0.93	0.63	-0.63	0.79	-0.79	0.42	-0.42	-0.29	0.29	-0.15	0.15	0.04	-0.04	0.02	-0.02	0.04	-0.04	-0.02	0.02
144	6.5	318.0	0.00032	1.001	0.75	-0.75	0.66	-0.66	0.79	-0.79	0.42	-0.42	0.13	-0.13	-0.17	0.17	0.06	-0.06	0.02	-0.02	0.01	-0.01	0.07	-0.07
145	6.5	318.0	0.0005	0.9329999999999999	0.75	-0.75	1.16	-1.16	0.85	-0.85	0.38	-0.38	-0.17	0.17	-0.15	0.15	0.12	-0.12	0.0	-0.0	0.02	-0.02	0.07	-0.07
146	6.5	318.0	0.0008	0.8490000000000001	0.79	-0.79	0.85	-0.85	0.85	-0.85	0.52	-0.52	-0.06	0.06	-0.31	0.31	0.15	-0.15	-0.01	0.01	0.04	-0.04	0.06	-0.06
147	6.5	318.0	0.0013	0.758	0.8	-0.8	1.08	-1.08	0.84	-0.84	0.28	-0.28	-0.05	0.05	-0.19	0.19	0.07	-0.07	0.0	-0.0	0.03	-0.03	0.13	-0.13
148	6.5	318.0	0.002	0.695	0.76	-0.76	0.87	-0.87	0.81	-0.81	0.28	-0.28	-0.02	0.02	-0.23	0.23	0.08	-0.08	-0.01	0.01	0.04	-0.04	0.07	-0.07
149	6.5	318.0	0.0032	0.6409999999999999	0.67	-0.67	1.21	-1.21	0.94	-0.94	0.37	-0.37	-0.14	0.14	-0.02	0.02	-0.1	0.1	0.0	-0.0	0.03	-0.03	0.07	-0.07
150	6.5	318.0	0.005	0.579	0.94	-0.94	0.85	-0.85	0.97	-0.97	0.32	-0.32	-0.14	0.14	-0.31	0.31	-0.04	0.04	0.0	-0.0	0.04	-0.04	0.23	-0.23
153	8.5	318.0	9.86e-05	1.161	2.31	-2.31	2.99	-2.99	0.93	-0.93	0.71	-0.71	-0.23	0.23	-0.44	0.44	-0.04	0.04	-0.47	0.47	-0.01	0.01	-0.18	0.18
154	8.5	318.0	0.000105	1.183	3.72	-3.72	2.8	-2.8	2.01	-2.01	0.52	-0.52	-2.47	2.47	-0.62	0.62	-2.14	2.14	-0.09	0.09	0.0	-0.0	0.06	-0.06
155	8.5	318.0	0.00011200000000000001	1.18	1.94	-1.94	2.48	-2.48	1.11	-1.11	2.21	-2.21	-0.27	0.27	-0.35	0.35	-0.05	0.05	-0.14	0.14	0.0	-0.0	0.07	-0.07
156	8.5	318.0	0.000124	1.2590000000000001	1.57	-1.57	1.95	-1.95	0.93	-0.93	1.21	-1.21	-0.52	0.52	-0.06	0.06	-0.4	0.4	0.23	-0.23	0.01	-0.01	0.07	-0.07
157	8.5	318.0	0.000129	1.232	1.4	-1.4	1.92	-1.92	0.91	-0.91	1.14	-1.14	-0.24	0.24	-0.26	0.26	-0.04	0.04	-0.15	0.15	-0.01	0.01	-0.11	0.11
158	8.5	318.0	0.000139	1.2570000000000001	3.23	-3.23	4.77	-4.77	1.12	-1.12	1.44	-1.44	-0.24	0.24	-0.15	0.15	-0.02	0.02	0.87	-0.87	0.0	-0.0	-0.2	0.2
159	8.5	318.0	0.0002	1.195	0.91	-0.91	1.29	-1.29	0.77	-0.77	0.56	-0.56	-0.13	0.13	-0.09	0.09	-0.02	0.02	0.07	-0.07	0.01	-0.01	-0.12	0.12
160	8.5	318.0	0.00032	1.107	0.71	-0.71	0.75	-0.75	0.75	-0.75	0.52	-0.52	0.04	-0.04	-0.16	0.16	0.09	-0.09	0.05	-0.05	0.02	-0.02	-0.02	0.02
161	8.5	318.0	0.0005	1.014	0.81	-0.81	0.93	-0.93	0.79	-0.79	0.37	-0.37	0.17	-0.17	-0.18	0.18	0.13	-0.13	-0.01	0.01	0.05	-0.05	-0.01	0.01
162	8.5	318.0	0.0008	0.9309999999999999	0.88	-0.88	0.8	-0.8	0.81	-0.81	0.31	-0.31	0.02	-0.02	-0.15	0.15	0.12	-0.12	0.0	-0.0	0.03	-0.03	0.14	-0.14
163	8.5	318.0	0.0013	0.8390000000000001	0.91	-0.91	0.83	-0.83	0.81	-0.81	0.37	-0.37	-0.09	0.09	-0.26	0.26	0.09	-0.09	0.0	-0.0	0.05	-0.05	0.07	-0.07
164	8.5	318.0	0.002	0.769	0.99	-0.99	1.32	-1.32	0.88	-0.88	0.31	-0.31	-0.03	0.03	-0.12	0.12	0.09	-0.09	0.0	-0.0	0.03	-0.03	0.05	-0.05
165	8.5	318.0	0.0032	0.6609999999999999	1.03	-1.03	1.33	-1.33	0.94	-0.94	0.3	-0.3	0.18	-0.18	-0.28	0.28	-0.05	0.05	0.0	-0.0	0.03	-0.03	0.04	-0.04
166	8.5	318.0	0.005	0.632	0.76	-0.76	1.25	-1.25	0.92	-0.92	0.37	-0.37	-0.09	0.09	-0.47	0.47	-0.21	0.21	0.0	-0.0	0.03	-0.03	0.07	-0.07
168	10.0	318.0	0.00032	1.138	1.92	-1.92	1.12	-1.12	0.92	-0.92	0.66	-0.66	-0.06	0.06	-0.04	0.04	-0.02	0.02	-0.01	0.01	0.01	-0.01	-0.07	0.07
169	10.0	318.0	0.0005	1.058	1.78	-1.78	1.19	-1.19	0.86	-0.86	0.34	-0.34	0.09	-0.09	0.16	-0.16	0.03	-0.03	-0.01	0.01	0.06	-0.06	0.05	-0.05
170	10.0	318.0	0.0008	0.977	1.84	-1.84	1.31	-1.31	0.84	-0.84	0.3	-0.3	0.07	-0.07	0.05	-0.05	0.02	-0.02	-0.02	0.02	0.09	-0.09	0.15	-0.15
171	10.0	318.0	0.0013	0.888	2.13	-2.13	1.21	-1.21	1.01	-1.01	0.11	-0.11	-0.16	0.16	0.01	-0.01	0.02	-0.02	-0.06	0.06	0.22	-0.22	-0.02	0.02
172	10.0	318.0	0.002	0.802	2.04	-2.04	1.77	-1.77	0.89	-0.89	0.42	-0.42	-0.14	0.14	-0.42	0.42	0.05	-0.05	-0.04	0.04	0.13	-0.13	0.02	-0.02
173	10.0	318.0	0.005	0.628	1.12	-1.12	0.77	-0.77	0.91	-0.91	0.41	-0.41	-0.11	0.11	-0.48	0.48	-0.02	0.02	-0.03	0.03	0.1	-0.1	0.1	-0.1
175	12.0	318.0	0.000139	1.281	1.78	-1.78	2.91	-2.91	0.92	-0.92	0.73	-0.73	-0.23	0.23	-0.36	0.36	-0.04	0.04	-0.44	0.44	-0.01	0.01	-0.17	0.17
176	12.0	318.0	0.000161	1.34	0.91	-0.91	1.42	-1.42	1.02	-1.02	1.35	-1.35	-0.26	0.26	-0.34	0.34	-0.05	0.05	0.02	-0.02	0.0	-0.0	-0.04	0.04
177	12.0	318.0	0.000182	1.295	1.31	-1.31	1.68	-1.68	0.9	-0.9	1.4	-1.4	-0.24	0.24	-0.26	0.26	-0.03	0.03	0.4	-0.4	-0.01	0.01	-0.11	0.11
178	12.0	318.0	0.0002	1.294	0.82	-0.82	0.7	-0.7	1.22	-1.22	1.08	-1.08	-0.9	0.9	-0.19	0.19	-0.03	0.03	0.25	-0.25	-0.02	0.02	-0.19	0.19
179	12.0	318.0	0.00032	1.2229999999999999	0.76	-0.76	0.57	-0.57	0.78	-0.78	0.57	-0.57	-0.28	0.28	-0.21	0.21	-0.01	0.01	0.07	-0.07	0.07	-0.07	-0.11	0.11
180	12.0	318.0	0.0005	1.145	0.53	-0.53	0.65	-0.65	0.76	-0.76	0.47	-0.47	-0.1	0.1	-0.13	0.13	-0.01	0.01	0.0	-0.0	0.01	-0.01	-0.1	0.1
181	12.0	318.0	0.0008	1.045	0.67	-0.67	0.56	-0.56	0.75	-0.75	0.44	-0.44	-0.01	0.01	-0.17	0.17	0.05	-0.05	-0.03	0.03	0.1	-0.1	-0.09	0.09
182	12.0	318.0	0.0013	0.935	1.03	-1.03	0.83	-0.83	0.78	-0.78	0.33	-0.33	0.01	-0.01	-0.18	0.18	-0.19	0.19	-0.01	0.01	0.06	-0.06	0.04	-0.04
183	12.0	318.0	0.002	0.851	1.03	-1.03	0.94	-0.94	0.79	-0.79	0.23	-0.23	-0.04	0.04	-0.17	0.17	-0.02	0.02	-0.01	0.01	0.06	-0.06	0.07	-0.07
184	12.0	318.0	0.0032	0.754	1.13	-1.13	1.36	-1.36	0.87	-0.87	0.3	-0.3	0.1	-0.1	-0.33	0.33	-0.01	0.01	0.0	-0.0	0.03	-0.03	0.05	-0.05
185	12.0	318.0	0.005	0.679	0.85	-0.85	1.26	-1.26	0.92	-0.92	0.34	-0.34	-0.14	0.14	-0.08	0.08	-0.2	0.2	0.0	-0.0	0.03	-0.03	0.07	-0.07
187	15.0	318.0	0.000174	1.34	1.37	-1.37	3.71	-3.71	0.93	-0.93	0.75	-0.75	-0.22	0.22	-0.45	0.45	-0.04	0.04	-0.37	0.37	-0.01	0.01	-0.19	0.19
188	15.0	318.0	0.0002	1.386	0.93	-0.93	2.64	-2.64	0.93	-0.93	0.47	-0.47	-0.19	0.19	-0.36	0.36	-0.03	0.03	0.06	-0.06	-0.01	0.01	-0.25	0.25
189	15.0	318.0	0.00022799999999999999	1.33	1.81	-1.81	2.33	-2.33	0.92	-0.92	0.44	-0.44	-0.19	0.19	-0.38	0.38	-0.04	0.04	0.05	-0.05	-0.02	0.02	-0.23	0.23
190	15.0	318.0	0.00032	1.3130000000000002	0.85	-0.85	0.7	-0.7	1.08	-1.08	0.72	-0.72	-0.68	0.68	-0.18	0.18	-0.02	0.02	0.14	-0.14	-0.02	0.02	-0.18	0.18
191	15.0	318.0	0.0005	1.207	0.47	-0.47	0.65	-0.65	0.76	-0.76	0.51	-0.51	-0.13	0.13	-0.16	0.16	0.0	-0.0	0.02	-0.02	0.04	-0.04	-0.12	0.12
192	15.0	318.0	0.0008	1.105	0.48	-0.48	0.63	-0.63	0.76	-0.76	0.45	-0.45	-0.06	0.06	-0.09	0.09	0.01	-0.01	-0.01	0.01	0.02	-0.02	-0.11	0.11
193	15.0	318.0	0.0013	0.9790000000000001	0.51	-0.51	0.65	-0.65	0.79	-0.79	0.45	-0.45	-0.07	0.07	-0.09	0.09	0.01	-0.01	-0.03	0.03	0.09	-0.09	-0.1	0.1
194	15.0	318.0	0.002	0.868	0.53	-0.53	0.67	-0.67	0.83	-0.83	0.37	-0.37	-0.11	0.11	-0.14	0.14	0.0	-0.0	-0.05	0.05	0.43	-0.43	-0.05	0.05
195	15.0	318.0	0.0032	0.7829999999999999	0.56	-0.56	0.78	-0.78	0.8	-0.8	0.38	-0.38	-0.09	0.09	-0.15	0.15	-0.01	0.01	-0.03	0.03	0.25	-0.25	-0.09	0.09
196	15.0	318.0	0.005	0.713	0.59	-0.59	0.62	-0.62	0.77	-0.77	0.36	-0.36	-0.09	0.09	-0.19	0.19	0.0	-0.0	-0.03	0.03	0.28	-0.28	-0.01	0.01
197	15.0	318.0	0.008	0.632	0.51	-0.51	0.73	-0.73	0.78	-0.78	0.38	-0.38	-0.07	0.07	-0.13	0.13	-0.01	0.01	-0.02	0.02	0.18	-0.18	-0.07	0.07
199	18.0	318.0	0.00020899999999999998	1.37	1.52	-1.52	3.73	-3.73	0.91	-0.91	0.72	-0.72	-0.21	0.21	-0.4	0.4	-0.04	0.04	-0.28	0.28	-0.01	0.01	-0.2	0.2
200	18.0	318.0	0.00023700000000000001	1.379	0.78	-0.78	2.0	-2.0	1.0	-1.0	0.93	-0.93	-0.23	0.23	-0.36	0.36	-0.05	0.05	-0.21	0.21	-0.01	0.01	-0.14	0.14
201	18.0	318.0	0.000268	1.3719999999999999	0.65	-0.65	1.18	-1.18	0.89	-0.89	1.08	-1.08	-0.23	0.23	-0.28	0.28	-0.04	0.04	0.41	-0.41	-0.01	0.01	-0.2	0.2
202	18.0	318.0	0.000328	1.383	0.75	-0.75	1.05	-1.05	0.9	-0.9	1.19	-1.19	-0.21	0.21	-0.15	0.15	-0.02	0.02	0.66	-0.66	0.0	-0.0	-0.2	0.2
203	18.0	318.0	0.0005	1.281	0.59	-0.59	0.61	-0.61	0.79	-0.79	0.75	-0.75	-0.26	0.26	-0.17	0.17	-0.02	0.02	0.2	-0.2	0.02	-0.02	-0.14	0.14
204	18.0	318.0	0.0008	1.155	0.45	-0.45	0.58	-0.58	0.75	-0.75	0.48	-0.48	-0.09	0.09	-0.14	0.14	-0.03	0.03	-0.03	0.03	-0.01	0.01	-0.13	0.13
205	18.0	318.0	0.0013	1.038	0.45	-0.45	0.62	-0.62	0.76	-0.76	0.47	-0.47	-0.08	0.08	-0.09	0.09	0.01	-0.01	-0.03	0.03	0.01	-0.01	-0.13	0.13
206	18.0	318.0	0.002	0.94	0.51	-0.51	0.62	-0.62	0.79	-0.79	0.43	-0.43	-0.08	0.08	-0.08	0.08	0.04	-0.04	-0.03	0.03	0.07	-0.07	-0.12	0.12
207	18.0	318.0	0.0032	0.8290000000000001	0.53	-0.53	0.65	-0.65	0.77	-0.77	0.38	-0.38	-0.1	0.1	-0.12	0.12	0.0	-0.0	-0.03	0.03	0.28	-0.28	-0.06	0.06
208	18.0	318.0	0.005	0.7440000000000001	0.56	-0.56	0.6	-0.6	0.77	-0.77	0.38	-0.38	-0.07	0.07	-0.16	0.16	-0.01	0.01	-0.03	0.03	0.14	-0.14	-0.04	0.04
209	18.0	318.0	0.008	0.664	0.45	-0.45	0.66	-0.66	0.81	-0.81	0.37	-0.37	-0.08	0.08	-0.17	0.17	-0.01	0.01	-0.02	0.02	0.38	-0.38	-0.06	0.06
211	22.0	318.0	0.00029	1.4340000000000002	1.43	-1.43	2.21	-2.21	1.22	-1.22	0.86	-0.86	-0.23	0.23	-0.33	0.33	-0.06	0.06	0.0	-0.0	0.01	-0.01	-0.43	0.43
212	22.0	318.0	0.00032	1.431	1.26	-1.26	2.81	-2.81	0.96	-0.96	0.8	-0.8	-0.2	0.2	-0.26	0.26	-0.04	0.04	0.1	-0.1	0.0	-0.0	-0.38	0.38
213	22.0	318.0	0.00034500000000000004	1.41	1.1	-1.1	1.5	-1.5	0.84	-0.84	0.8	-0.8	-0.18	0.18	-0.2	0.2	-0.03	0.03	0.38	-0.38	0.0	-0.0	-0.39	0.39
214	22.0	318.0	0.000388	1.393	0.87	-0.87	1.03	-1.03	0.83	-0.83	0.88	-0.88	-0.19	0.19	-0.17	0.17	-0.02	0.02	0.63	-0.63	0.0	-0.0	-0.38	0.38
215	22.0	318.0	0.0005	1.382	0.82	-0.82	0.98	-0.98	0.86	-0.86	0.98	-0.98	-0.19	0.19	-0.14	0.14	-0.01	0.01	0.5	-0.5	0.0	-0.0	-0.33	0.33
216	22.0	318.0	0.000592	1.327	0.8	-0.8	0.89	-0.89	0.88	-0.88	1.03	-1.03	-0.19	0.19	-0.13	0.13	-0.01	0.01	0.54	-0.54	0.0	-0.0	-0.28	0.28
217	22.0	318.0	0.0008	1.229	0.64	-0.64	0.76	-0.76	0.84	-0.84	0.93	-0.93	-0.2	0.2	-0.11	0.11	0.0	-0.0	0.22	-0.22	0.0	-0.0	-0.16	0.16
218	22.0	318.0	0.0013	1.057	2.27	-2.27	1.4	-1.4	0.93	-0.93	0.45	-0.45	0.06	-0.06	0.21	-0.21	0.02	-0.02	-0.02	0.02	0.1	-0.1	-0.08	0.08
219	22.0	318.0	0.002	0.99	1.15	-1.15	1.24	-1.24	0.84	-0.84	0.9	-0.9	-0.16	0.16	-0.22	0.22	0.0	-0.0	-0.37	0.37	0.05	-0.05	-0.02	0.02
220	22.0	318.0	0.0032	0.9	2.56	-2.56	1.18	-1.18	0.85	-0.85	0.07	-0.07	-0.14	0.14	0.07	-0.07	0.06	-0.06	-0.02	0.02	0.11	-0.11	0.1	-0.1
221	22.0	318.0	0.005	0.769	2.37	-2.37	0.89	-0.89	0.83	-0.83	0.37	-0.37	-0.09	0.09	-0.44	0.44	0.05	-0.05	-0.03	0.03	0.12	-0.12	0.14	-0.14
222	22.0	318.0	0.008	0.6559999999999999	2.43	-2.43	0.93	-0.93	0.86	-0.86	0.55	-0.55	-0.17	0.17	-0.54	0.54	0.04	-0.04	-0.02	0.02	0.1	-0.1	0.19	-0.19
225	27.0	318.0	0.000314	1.48	2.47	-2.47	3.86	-3.86	0.91	-0.91	0.58	-0.58	-0.22	0.22	-0.47	0.47	-0.04	0.04	-0.23	0.23	-0.01	0.01	-0.2	0.2
226	27.0	318.0	0.00035499999999999996	1.4409999999999998	0.88	-0.88	2.64	-2.64	0.91	-0.91	0.54	-0.54	-0.19	0.19	-0.35	0.35	-0.03	0.03	0.07	-0.07	-0.01	0.01	-0.24	0.24
227	27.0	318.0	0.00041	1.462	0.73	-0.73	2.16	-2.16	0.9	-0.9	0.66	-0.66	-0.2	0.2	-0.34	0.34	-0.02	0.02	-0.07	0.07	-0.01	0.01	-0.21	0.21
228	27.0	318.0	0.0005	1.411	0.7	-0.7	0.74	-0.74	0.87	-0.87	0.64	-0.64	-0.43	0.43	-0.23	0.23	-0.02	0.02	0.04	-0.04	-0.07	0.07	-0.16	0.16
229	27.0	318.0	0.0008	1.2890000000000001	0.44	-0.44	0.67	-0.67	0.74	-0.74	0.49	-0.49	-0.12	0.12	-0.16	0.16	-0.01	0.01	0.02	-0.02	-0.02	0.02	-0.13	0.13
230	27.0	318.0	0.0013	1.1540000000000001	0.47	-0.47	0.65	-0.65	0.76	-0.76	0.48	-0.48	-0.07	0.07	-0.12	0.12	0.0	-0.0	-0.01	0.01	-0.03	0.03	-0.13	0.13
231	27.0	318.0	0.002	1.044	0.52	-0.52	0.64	-0.64	0.77	-0.77	0.42	-0.42	-0.08	0.08	-0.1	0.1	0.01	-0.01	-0.03	0.03	0.06	-0.06	-0.13	0.13
232	27.0	318.0	0.0032	0.9129999999999999	0.53	-0.53	0.66	-0.66	0.78	-0.78	0.36	-0.36	-0.1	0.1	-0.18	0.18	0.0	-0.0	-0.04	0.04	0.22	-0.22	-0.08	0.08
233	27.0	318.0	0.005	0.8	0.54	-0.54	0.65	-0.65	0.78	-0.78	0.39	-0.39	-0.1	0.1	-0.18	0.18	-0.01	0.01	-0.04	0.04	0.23	-0.23	-0.07	0.07
234	27.0	318.0	0.008	0.7070000000000001	0.58	-0.58	0.66	-0.66	0.78	-0.78	0.39	-0.39	-0.07	0.07	-0.11	0.11	-0.01	0.01	-0.01	0.01	0.09	-0.09	-0.07	0.07
238	35.0	318.0	0.00045999999999999996	1.4269999999999998	1.01	-1.01	1.99	-1.99	0.94	-0.94	0.53	-0.53	-0.2	0.2	-0.39	0.39	-0.04	0.04	-0.02	0.02	0.0	-0.0	-0.43	0.43
239	35.0	318.0	0.0005	1.472	1.38	-1.38	1.91	-1.91	0.92	-0.92	0.26	-0.26	-0.16	0.16	-0.23	0.23	-0.03	0.03	-0.01	0.01	0.01	-0.01	-0.59	0.59
240	35.0	318.0	0.000531	1.44	0.78	-0.78	1.24	-1.24	0.8	-0.8	0.46	-0.46	-0.17	0.17	-0.28	0.28	-0.03	0.03	0.26	-0.26	-0.01	0.01	-0.45	0.45
241	35.0	318.0	0.000616	1.4580000000000002	0.99	-0.99	1.23	-1.23	0.79	-0.79	0.56	-0.56	-0.16	0.16	-0.16	0.16	-0.01	0.01	0.48	-0.48	0.01	-0.01	-0.57	0.57
242	35.0	318.0	0.000657	1.433	0.88	-0.88	0.97	-0.97	0.8	-0.8	0.66	-0.66	-0.16	0.16	-0.14	0.14	-0.01	0.01	0.57	-0.57	0.0	-0.0	-0.52	0.52
243	35.0	318.0	0.0008	1.386	0.49	-0.49	0.59	-0.59	0.76	-0.76	0.62	-0.62	-0.19	0.19	-0.17	0.17	-0.01	0.01	0.14	-0.14	-0.02	0.02	-0.24	0.24
244	35.0	318.0	0.001	1.3119999999999998	0.7	-0.7	0.75	-0.75	0.84	-0.84	0.83	-0.83	-0.18	0.18	-0.12	0.12	-0.01	0.01	0.35	-0.35	0.0	-0.0	-0.37	0.37
245	35.0	318.0	0.0013	1.222	0.42	-0.42	0.48	-0.48	0.74	-0.74	0.55	-0.55	-0.11	0.11	-0.06	0.06	0.0	-0.0	0.04	-0.04	-0.02	0.02	-0.2	0.2
246	35.0	318.0	0.002	1.099	0.52	-0.52	0.55	-0.55	0.74	-0.74	0.47	-0.47	-0.1	0.1	-0.05	0.05	0.0	-0.0	-0.04	0.04	-0.01	0.01	-0.15	0.15
247	35.0	318.0	0.0032	0.963	0.49	-0.49	0.56	-0.56	0.77	-0.77	0.44	-0.44	-0.08	0.08	-0.11	0.11	0.0	-0.0	-0.14	0.14	0.07	-0.07	-0.17	0.17
248	35.0	318.0	0.005	0.851	0.6	-0.6	0.54	-0.54	0.77	-0.77	0.37	-0.37	-0.09	0.09	-0.18	0.18	-0.01	0.01	-0.04	0.04	0.13	-0.13	-0.09	0.09
249	35.0	318.0	0.008	0.746	0.6	-0.6	0.58	-0.58	0.78	-0.78	0.36	-0.36	-0.08	0.08	-0.22	0.22	-0.01	0.01	-0.04	0.04	0.21	-0.21	-0.09	0.09
254	45.0	318.0	0.00059	1.4680000000000002	1.79	-1.79	2.82	-2.82	1.08	-1.08	0.14	-0.14	-0.16	0.16	-0.28	0.28	-0.04	0.04	0.09	-0.09	0.01	-0.01	-0.84	0.84
255	45.0	318.0	0.000634	1.4509999999999998	0.87	-0.87	1.7	-1.7	0.83	-0.83	0.42	-0.42	-0.19	0.19	-0.34	0.34	-0.03	0.03	-0.12	0.12	-0.01	0.01	-0.47	0.47
256	45.0	318.0	0.0007	1.485	1.42	-1.42	2.05	-2.05	0.8	-0.8	0.15	-0.15	-0.13	0.13	-0.18	0.18	-0.01	0.01	0.34	-0.34	0.01	-0.01	-0.81	0.81
257	45.0	318.0	0.0008	1.46	0.72	-0.72	0.8	-0.8	0.75	-0.75	0.47	-0.47	-0.21	0.21	-0.23	0.23	-0.02	0.02	0.06	-0.06	-0.08	0.08	-0.34	0.34
258	45.0	318.0	0.0009199999999999999	1.3880000000000001	0.98	-0.98	1.22	-1.22	0.77	-0.77	0.35	-0.35	-0.13	0.13	-0.13	0.13	-0.01	0.01	0.57	-0.57	0.0	-0.0	-0.7	0.7
