s	qsq2	x	sig
319	1.5	1e-05	0.019400624129074562
319	1.5	1.333521432163324e-05	0.02133007402907055
319	1.5	1.778279410038923e-05	0.022966281790191216
319	1.5	2.3713737056616554e-05	0.023482595766507457
319	1.5	3.1622776601683795e-05	0.023216677597371237
319	1.5	4.216965034285822e-05	0.022564939310647045
319	1.5	5.623413251903491e-05	0.02174967373582386
319	1.5	7.498942093324559e-05	0.020873663274814703
319	1.5	0.0001	0.019987444235484732
319	1.5	0.0001333521432163324	0.019111997490752455
319	1.5	0.00017782794100389227	0.01825698588217453
319	1.5	0.00023713737056616554	0.01742785031262829
319	1.5	0.00031622776601683794	0.016628537440595774
319	1.5	0.00042169650342858224	0.015859605964788793
319	1.5	0.0005623413251903491	0.015121102955833157
319	1.5	0.0007498942093324559	0.014412066269136723
319	1.5	0.001	0.013733526093633798
319	1.5	0.001333521432163324	0.01308559360533623
319	1.5	0.0017782794100389228	0.012468724739061236
319	1.5	0.0023713737056616554	0.01188224481807555
319	1.5	0.0031622776601683794	0.011326087583320814
319	1.5	0.004216965034285823	0.010800118604884196
319	1.5	0.005623413251903491	0.010304203530740583
319	1.5	0.007498942093324558	0.009838547113024298
319	1.5	0.01	0.009403293664783244
319	8.5	1e-05	0.05919048886468608
319	8.5	1.333521432163324e-05	0.054756337953553745
319	8.5	1.778279410038923e-05	0.050112497501989234
319	8.5	2.3713737056616554e-05	0.045251108230292755
319	8.5	3.1622776601683795e-05	0.04049304918063015
319	8.5	4.216965034285822e-05	0.03707137255044231
319	8.5	5.623413251903491e-05	0.037126579299331317
319	8.5	7.498942093324559e-05	0.040288804533418716
319	8.5	0.0001	0.04278891965390216
319	8.5	0.0001333521432163324	0.04306289505433705
319	8.5	0.00017782794100389227	0.04183818068192171
319	8.5	0.00023713737056616554	0.03992489659294645
319	8.5	0.00031622776601683794	0.037759873749379565
319	8.5	0.00042169650342858224	0.03554174991742887
319	8.5	0.0005623413251903491	0.033358368777423
319	8.5	0.0007498942093324559	0.031244407121500055
319	8.5	0.001	0.0292191232182973
319	8.5	0.001333521432163324	0.027289045311584607
319	8.5	0.0017782794100389228	0.025456983066166113
319	8.5	0.0023713737056616554	0.023719766975867668
319	8.5	0.0031622776601683794	0.022075443942257966
319	8.5	0.004216965034285823	0.02052119297173726
319	8.5	0.005623413251903491	0.019054060647830176
319	8.5	0.007498942093324558	0.017670959029190043
319	8.5	0.01	0.016369885698204682
319	27	1e-05	0.10700145539751668
319	27	1.333521432163324e-05	0.10003321062693804
319	27	1.778279410038923e-05	0.09314336013640294
319	27	2.3713737056616554e-05	0.08645890228036694
319	27	3.1622776601683795e-05	0.07974302560536184
319	27	4.216965034285822e-05	0.07295884905222612
319	27	5.623413251903491e-05	0.06602098476091782
319	27	7.498942093324559e-05	0.05887840022617769
319	27	0.0001	0.05211810334172359
319	27	0.0001333521432163324	0.047144936844863844
319	27	0.00017782794100389227	0.04666205357885958
319	27	0.00023713737056616554	0.05002345326219482
319	27	0.00031622776601683794	0.05255617176642392
319	27	0.00042169650342858224	0.052201040552690155
319	27	0.0005623413251903491	0.049958201929666705
319	27	0.0007498942093324559	0.046996651438349225
319	27	0.001	0.0437149674189873
319	27	0.001333521432163324	0.0405014156471867
319	27	0.0017782794100389228	0.03733416980437036
319	27	0.0023713737056616554	0.03434498035943388
319	27	0.0031622776601683794	0.03150277795574162
319	27	0.004216965034285823	0.028869260539558173
319	27	0.005623413251903491	0.02636555954760566
319	27	0.007498942093324558	0.02402037965720879
319	27	0.01	0.0218286901050393
319	200	1e-05	0.23314936020363727
319	200	1.333521432163324e-05	0.21666518351479247
319	200	1.778279410038923e-05	0.201079315306513
319	200	2.3713737056616554e-05	0.18634040321909268
319	200	3.1622776601683795e-05	0.17242030439244813
319	200	4.216965034285822e-05	0.15926116654575595
319	200	5.623413251903491e-05	0.14681418154670917
319	200	7.498942093324559e-05	0.13502730011931718
319	200	0.0001	0.12384565387285613
319	200	0.0001333521432163324	0.11320452502254959
319	200	0.00017782794100389227	0.10304703528640807
319	200	0.00023713737056616554	0.09329170293791325
319	200	0.00031622776601683794	0.08385771259043828
319	200	0.00042169650342858224	0.07467660750043237
319	200	0.0005623413251903491	0.06584207320994787
319	200	0.0007498942093324559	0.05753956672759425
319	200	0.001	0.0512746418320969
319	200	0.001333521432163324	0.048871570296320554
319	200	0.0017782794100389228	0.04930584923797959
319	200	0.0023713737056616554	0.048753241164283916
319	200	0.0031622776601683794	0.04595155537185401
319	200	0.004216965034285823	0.042304527060816194
319	200	0.005623413251903491	0.038155948187331166
319	200	0.007498942093324558	0.03405575739478755
319	200	0.01	0.030164497695871793
