q2	x	f2	fl	redx
45.0	0.0001467799267622069	2.4695908761481715	0.8316433770252679	1.6379474991229035
45.0	0.00021544346900318823	2.2339953317955255	0.8327083481939466	1.4012869836015789
45.0	0.00031622776601683794	2.015995192928431	0.6340163794443525	1.3819788134840787
45.0	0.00046415888336127773	1.8106143448516432	0.3020405375073746	1.5085738073442685
45.0	0.0006812920690579609	1.6290953134625492	0.11290943943264302	1.5161858740299061
45.0	0.001	1.4567141519869136	0.03979203463537642	1.4169221173515372
45.0	0.0014677992676220691	1.301689180879587	0.014360808120976686	1.2873283727586102
45.0	0.002154434690031882	1.1557230811187842	0.005279786673313106	1.150443294445471
45.0	0.0031622776601683794	1.0269815365939505	0.002035097412035091	1.0249464391819154
45.0	0.004641588833612777	0.9056640605517319	0.000778106313739076	0.9048859542379928
45.0	0.006812920690579608	0.7986784796879697	0.0003068352389200979	0.7983716444490496
45.0	0.01	0.6990121135686042	0.00011887968958774945	0.6988932338790164
