s	qsq2	x	sig
319	1.5	1e-05	0.019861644391698012
319	1.5	1.333521432163324e-05	0.02183580414056053
319	1.5	1.778279410038923e-05	0.02351079375519119
319	1.5	2.3713737056616554e-05	0.02404284613899643
319	1.5	3.1622776601683795e-05	0.023773340228277866
319	1.5	4.216965034285822e-05	0.023110282380976944
319	1.5	5.623413251903491e-05	0.022278293870890368
319	1.5	7.498942093324559e-05	0.021383661149564706
319	1.5	0.0001	0.020477335083105935
319	1.5	0.0001333521432163324	0.01958084062906563
319	1.5	0.00017782794100389227	0.01870618310101411
319	1.5	0.00023713737056616554	0.017857908240749346
319	1.5	0.00031622776601683794	0.01703818246185963
319	1.5	0.00042169650342858224	0.016250491705322445
319	1.5	0.0005623413251903491	0.015492993492282286
319	1.5	0.0007498942093324559	0.014766449551984287
319	1.5	0.001	0.014070898870260884
319	1.5	0.001333521432163324	0.01340643984334393
319	1.5	0.0017782794100389228	0.012773596149996805
319	1.5	0.0023713737056616554	0.01216992426587156
319	1.5	0.0031622776601683794	0.01159867041589052
319	1.5	0.004216965034285823	0.011061063870817794
319	1.5	0.005623413251903491	0.01055492441871821
319	1.5	0.007498942093324558	0.010080654803355914
319	1.5	0.01	0.009638207529548365
319	8.5	1e-05	0.06079669351348228
319	8.5	1.333521432163324e-05	0.05624932698231866
319	8.5	1.778279410038923e-05	0.051480413589641914
319	8.5	2.3713737056616554e-05	0.046487924750843374
319	8.5	3.1622776601683795e-05	0.04159891026345422
319	8.5	4.216965034285822e-05	0.03808457887190342
319	8.5	5.623413251903491e-05	0.0381522238675619
319	8.5	7.498942093324559e-05	0.0414202786739884
319	8.5	0.0001	0.0440068951225041
319	8.5	0.0001333521432163324	0.044298783506660964
319	8.5	0.00017782794100389227	0.04304502608384481
319	8.5	0.00023713737056616554	0.041080992997918335
319	8.5	0.00031622776601683794	0.03885513999053882
319	8.5	0.00042169650342858224	0.03657402210976569
319	8.5	0.0005623413251903491	0.03432672126063778
319	8.5	0.0007498942093324559	0.03215336438808634
319	8.5	0.001	0.030070565547677192
319	8.5	0.001333521432163324	0.02808482279078704
319	8.5	0.0017782794100389228	0.026198344286029875
319	8.5	0.0023713737056616554	0.02440289177675996
319	8.5	0.0031622776601683794	0.022706154423824232
319	8.5	0.004216965034285823	0.021108678003519538
319	8.5	0.005623413251903491	0.01960103380535841
319	8.5	0.007498942093324558	0.018180085370528558
319	8.5	0.01	0.016843552816410385
319	27	1e-05	0.11005149200754889
319	27	1.333521432163324e-05	0.102886599773369
319	27	1.778279410038923e-05	0.09581100950082641
319	27	2.3713737056616554e-05	0.08893719974580953
319	27	3.1622776601683795e-05	0.0820311915030844
319	27	4.216965034285822e-05	0.07505250346963188
319	27	5.623413251903491e-05	0.0679110447586608
319	27	7.498942093324559e-05	0.0605502649794121
319	27	0.0001	0.053588048971579046
319	27	0.0001333521432163324	0.04846605868540504
319	27	0.00017782794100389227	0.0479827844181929
319	27	0.00023713737056616554	0.05146796868035546
319	27	0.00031622776601683794	0.05410378768393581
319	27	0.00042169650342858224	0.053752166845628176
319	27	0.0005623413251903491	0.05144517628821204
319	27	0.0007498942093324559	0.04840322612705478
319	27	0.001	0.04502403467656179
319	27	0.001333521432163324	0.04171884195596536
319	27	0.0017782794100389228	0.038484367016346555
319	27	0.0023713737056616554	0.03534629245933781
319	27	0.0031622776601683794	0.032424688372480866
319	27	0.004216965034285823	0.0297315360613127
319	27	0.005623413251903491	0.027157595243381544
319	27	0.007498942093324558	0.024747073022082247
319	27	0.01	0.022494419647541692
319	200	1e-05	0.2395614373378186
319	200	1.333521432163324e-05	0.22258047077809145
319	200	1.778279410038923e-05	0.2065292478759729
319	200	2.3713737056616554e-05	0.19135437699814428
319	200	3.1622776601683795e-05	0.17702132701219914
319	200	4.216965034285822e-05	0.16347388486366615
319	200	5.623413251903491e-05	0.15065917951508292
319	200	7.498942093324559e-05	0.13852295023710062
319	200	0.0001	0.12701185850759295
319	200	0.0001333521432163324	0.11606270289339296
319	200	0.00017782794100389227	0.10561070873020784
319	200	0.00023713737056616554	0.09557642754555154
319	200	0.00031622776601683794	0.08587624283548867
319	200	0.00042169650342858224	0.0764409815845486
319	200	0.0005623413251903491	0.06736954249840263
319	200	0.0007498942093324559	0.05884695424547201
319	200	0.001	0.05241385673863298
319	200	0.001333521432163324	0.049920923501215714
319	200	0.0017782794100389228	0.05031330273448585
319	200	0.0023713737056616554	0.04949769042039679
319	200	0.0031622776601683794	0.04693915721305798
319	200	0.004216965034285823	0.04302275233461139
319	200	0.005623413251903491	0.03876101705150623
319	200	0.007498942093324558	0.034553575602866614
319	200	0.01	0.030562743981898496
