q2	x	redx
1.5	1e-05	0.5661746717991585
1.5	1.438449888287663e-05	0.6636798108808531
1.5	2.06913808111479e-05	0.7276121106779982
1.5	2.9763514416313192e-05	0.73543870847685
1.5	4.281332398719396e-05	0.7160135595261385
1.5	6.158482110660267e-05	0.686440722065793
1.5	8.858667904100833e-05	0.6535424588460691
1.5	0.00012742749857031334	0.6199266274078503
1.5	0.00018329807108324357	0.5866440433719966
1.5	0.00026366508987303583	0.5541238635299178
1.5	0.000379269019073225	0.5225680815903964
1.5	0.0005455594781168515	0.49207848889838474
1.5	0.0007847599703514606	0.46268790643198615
1.5	0.0011288378916846883	0.43446138073133295
1.5	0.001623776739188721	0.40738023898645415
1.5	0.002335721469090121	0.38146150216175784
1.5	0.003359818286283781	0.35670258373628194
1.5	0.004832930238571752	0.33310756997211344
1.5	0.0069519279617756054	0.31065737662915693
1.5	0.01	0.28934115862190035
8.5	1e-05	1.6153017018231974
8.5	1.438449888287663e-05	1.457130409441027
8.5	2.06913808111479e-05	1.2832728878486082
8.5	2.9763514416313192e-05	1.1026433334348664
8.5	4.281332398719396e-05	0.9761490279246023
8.5	6.158482110660267e-05	1.0358570376179856
8.5	8.858667904100833e-05	1.2011690761865808
8.5	0.00012742749857031334	1.2629595193800964
8.5	0.00018329807108324357	1.233161970609278
8.5	0.00026366508987303583	1.1668469505441459
8.5	0.000379269019073225	1.0901700057208314
8.5	0.0005455594781168515	1.012807984961675
8.5	0.0007847599703514606	0.9381935231605095
8.5	0.0011288378916846883	0.8675202300657493
8.5	0.001623776739188721	0.8011235216094177
8.5	0.002335721469090121	0.7390128262460188
8.5	0.003359818286283781	0.6810618906593017
8.5	0.004832930238571752	0.6271009636335216
8.5	0.0069519279617756054	0.5769353886417867
8.5	0.01	0.530346917026822
27.0	1e-05	2.703382566203838
27.0	1.438449888287663e-05	2.4865017867623687
27.0	2.06913808111479e-05	2.2745766615251215
27.0	2.9763514416313192e-05	2.0641404135729493
27.0	4.281332398719396e-05	1.8505796253529074
27.0	6.158482110660267e-05	1.629194493767808
27.0	8.858667904100833e-05	1.4039189082340915
27.0	0.00012742749857031334	1.2245961686230955
27.0	0.00018329807108324357	1.2229703886227496
27.0	0.00026366508987303583	1.366323593219471
27.0	0.000379269019073225	1.424387697428471
27.0	0.0005455594781168515	1.3798143772819456
27.0	0.0007847599703514606	1.293596018349633
27.0	0.0011288378916846883	1.197132909907813
27.0	0.001623776739188721	1.101814191573541
27.0	0.002335721469090121	1.0114737313144007
27.0	0.003359818286283781	0.9262552681355474
27.0	0.004832930238571752	0.8485516846067375
27.0	0.0069519279617756054	0.7758677957693872
27.0	0.01	0.7096618827482031
200.0	1e-05	4.902911651788317
200.0	1.438449888287663e-05	4.48606468903711
200.0	2.06913808111479e-05	4.101951782430269
200.0	2.9763514416313192e-05	3.7853846579830477
200.0	4.281332398719396e-05	3.493396280661673
200.0	6.158482110660267e-05	3.1999646575237484
200.0	8.858667904100833e-05	2.9266115002150035
200.0	0.00012742749857031334	2.673094375862087
200.0	0.00018329807108324357	2.422970376180206
200.0	0.00026366508987303583	2.176358218905472
200.0	0.000379269019073225	1.9369766382095457
200.0	0.0005455594781168515	1.6972183787692678
200.0	0.0007847599703514606	1.4740659766823896
200.0	0.0011288378916846883	1.3370582948646272
200.0	0.001623776739188721	1.3559699637501461
200.0	0.002335721469090121	1.3950512350152255
200.0	0.003359818286283781	1.3482827184400914
200.0	0.004832930238571752	1.257467961245582
200.0	0.0069519279617756054	1.1527137963998517
200.0	0.01	1.0521298802497945
