q2	x	redx
1.5	1e-05	0.552799590133376
1.5	1.438449888287663e-05	0.6444870734673778
1.5	2.06913808111479e-05	0.7046800456340707
1.5	2.9763514416313192e-05	0.7116002711709369
1.5	4.281332398719396e-05	0.6925282248812226
1.5	6.158482110660267e-05	0.6637021647275664
1.5	8.858667904100833e-05	0.6316210217251303
1.5	0.00012742749857031334	0.5987863194904883
1.5	0.00018329807108324357	0.5662086921678186
1.5	0.00026366508987303583	0.5343112282682461
1.5	0.000379269019073225	0.5033140896860623
1.5	0.0005455594781168515	0.47330570619513856
1.5	0.0007847599703514606	0.44434430583930135
1.5	0.0011288378916846883	0.4164861559646667
1.5	0.001623776739188721	0.3897366319336804
1.5	0.002335721469090121	0.36412964744577087
1.5	0.003359818286283781	0.3396603592374864
1.5	0.004832930238571752	0.3163361936754111
1.5	0.0069519279617756054	0.29415483055214997
1.5	0.01	0.27310983695325225
8.5	1e-05	1.6511406393431916
8.5	1.438449888287663e-05	1.4851814519325326
8.5	2.06913808111479e-05	1.3043185095183583
8.5	2.9763514416313192e-05	1.1166696043351445
8.5	4.281332398719396e-05	0.9862397713310914
8.5	6.158482110660267e-05	1.0472445406533062
8.5	8.858667904100833e-05	1.2151108236184245
8.5	0.00012742749857031334	1.2772689007031486
8.5	0.00018329807108324357	1.2442294907290186
8.5	0.00026366508987303583	1.1768954934414313
8.5	0.000379269019073225	1.0963264810779056
8.5	0.0005455594781168515	1.0152024638821127
8.5	0.0007847599703514606	0.9371219388406129
8.5	0.0011288378916846883	0.8632918766869909
8.5	0.001623776739188721	0.7940763084624703
8.5	0.002335721469090121	0.7294746023241884
8.5	0.003359818286283781	0.6693589417642705
8.5	0.004832930238571752	0.6135416351931137
8.5	0.0069519279617756054	0.5618069933468439
8.5	0.01	0.51393799733636
27.0	1e-05	2.841286270882115
27.0	1.438449888287663e-05	2.6064729300103084
27.0	2.06913808111479e-05	2.3765418182183446
27.0	2.9763514416313192e-05	2.1488626880657975
27.0	4.281332398719396e-05	1.9189188176528167
27.0	6.158482110660267e-05	1.6812385173966513
27.0	8.858667904100833e-05	1.4381072111985045
27.0	0.00012742749857031334	1.2496266459285417
27.0	0.00018329807108324357	1.2468762320992703
27.0	0.00026366508987303583	1.3959538199458386
27.0	0.000379269019073225	1.4525464213447383
27.0	0.0005455594781168515	1.4022917283363836
27.0	0.0007847599703514606	1.310743818703074
27.0	0.0011288378916846883	1.207566250162799
27.0	0.001623776739188721	1.1060655555462477
27.0	0.002335721469090121	1.010335445963108
27.0	0.003359818286283781	0.9213623086619706
27.0	0.004832930238571752	0.8393474837102362
27.0	0.0069519279617756054	0.7639613710102844
27.0	0.01	0.6948496568104694
200.0	1e-05	5.602035296604116
200.0	1.438449888287663e-05	5.107902640053732
200.0	2.06913808111479e-05	4.652903949414797
200.0	2.9763514416313192e-05	4.223653824074151
200.0	4.281332398719396e-05	3.838220888404748
200.0	6.158482110660267e-05	3.481868080970482
200.0	8.858667904100833e-05	3.148234469320336
200.0	0.00012742749857031334	2.840304953044985
200.0	0.00018329807108324357	2.55061752263347
200.0	0.00026366508987303583	2.274549604791526
200.0	0.000379269019073225	2.0070933085280553
200.0	0.0005455594781168515	1.7455730510608327
200.0	0.0007847599703514606	1.5044289333479934
200.0	0.0011288378916846883	1.357298794408999
200.0	0.001623776739188721	1.3777759643891991
200.0	0.002335721469090121	1.416225533237154
200.0	0.003359818286283781	1.365881263595995
200.0	0.004832930238571752	1.267063559024537
200.0	0.0069519279617756054	1.156788939687029
200.0	0.01	1.0493216193571036
