q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
0.25	0.00011	0.022	319.0	0.2	3.95	-3.95	1.5	-1.5	2.45	-2.45	0.81	-0.81	-0.17	0.17	-0.04	0.04	0.5	-0.5	1.0
0.25	0.000251	0.01	319.0	0.196	3.74	-3.74	1.44	-1.44	3.23	-3.23	-0.17	0.17	-0.25	0.25	-0.58	0.58	0.5	-0.5	1.0
0.25	0.000394	0.006	319.0	0.195	4.15	-4.15	1.5	-1.5	3.58	-3.58	1.49	-1.49	-0.22	0.22	0.79	-0.79	0.5	-0.5	1.0
0.25	0.00158	0.002	301.0	0.199	10.97	-10.97	5.29	-5.29	2.36	-2.36	0.14	-0.14	-0.17	0.17	2.67	-2.67	0.5	-0.5	1.0
0.35	5.12e-06	0.758	301.0	0.35	3.42	-3.42	1.5	-1.5	3.33	-3.33	1.95	-1.95	0.85	-0.85	0.37	-0.37	0.5	-0.5	1.0
0.35	5.12e-06	0.675	319.0	0.4370000000000001	22.06	-22.06	12.78	-12.78	1.8	-1.8	-0.15	0.15	-1.02	1.02	0.68	-0.68	0.5	-0.5	1.0
0.35	6.1e-06	0.636	301.0	0.358	5.74	-5.74	11.03	-11.03	4.78	-4.78	0.64	-0.64	3.76	-3.76	1.03	-1.03	0.5	-0.5	1.0
0.35	6.62e-06	0.586	301.0	0.336	2.07	-2.07	0.91	-0.91	1.88	-1.88	1.2	-1.2	0.41	-0.41	0.33	-0.33	0.5	-0.5	1.0
0.35	8.28e-06	0.469	301.0	0.335	1.82	-1.82	0.93	-0.93	1.9	-1.9	1.25	-1.25	-0.07	0.07	0.21	-0.21	0.5	-0.5	1.0
0.35	1e-05	0.34600000000000003	319.0	0.348	1.62	-1.62	0.79	-0.79	1.73	-1.73	1.2	-1.2	-0.28	0.28	0.29	-0.29	0.5	-0.5	1.0
0.35	1.27e-05	0.272	319.0	0.326	1.43	-1.43	0.79	-0.79	1.8	-1.8	1.16	-1.16	-0.29	0.29	0.2	-0.2	0.5	-0.5	1.0
0.35	1.65e-05	0.21	319.0	0.316	1.21	-1.21	0.63	-0.63	1.82	-1.82	1.2	-1.2	-0.28	0.28	0.26	-0.26	0.5	-0.5	1.0
0.35	3.2e-05	0.108	319.0	0.299	1.14	-1.14	0.72	-0.72	2.51	-2.51	2.25	-2.25	-0.39	0.39	2.05	-2.05	0.5	-0.5	1.0
0.35	6.620000000000001e-05	0.052000000000000005	319.0	0.28300000000000003	2.62	-2.62	1.5	-1.5	1.65	-1.65	0.45	-0.45	-0.24	0.24	-0.18	0.18	0.5	-0.5	1.0
0.35	0.00013000000000000002	0.027000000000000003	319.0	0.259	2.52	-2.52	1.43	-1.43	1.46	-1.46	0.75	-0.75	-0.33	0.33	0.06	-0.06	0.5	-0.5	1.0
0.35	0.00022	0.016	319.0	0.242	2.67	-2.67	1.5	-1.5	1.95	-1.95	1.11	-1.11	-0.34	0.34	0.16	-0.16	0.5	-0.5	1.0
