s	qsq2	x	f2	fl	sig	
319	1.5	1e-05	0.028403762807685203	0.009003138678610639	0.019400624129074562
319	1.5	1.333521432163324e-05	0.027242220139050432	0.005912146109979884	0.02133007402907055
319	1.5	1.778279410038923e-05	0.026112692826914634	0.003146411036723416	0.022966281790191216
319	1.5	2.3713737056616554e-05	0.025016052263635017	0.0015334564971275612	0.023482595766507457
319	1.5	3.1622776601683795e-05	0.023954862581254927	0.00073818498388369	0.023216677597371237
319	1.5	4.216965034285822e-05	0.022925334924493064	0.0003603956138460201	0.022564939310647045
319	1.5	5.623413251903491e-05	0.02192910115370229	0.00017942741787842882	0.02174967373582386
319	1.5	7.498942093324559e-05	0.020964588733932785	9.09254591180836e-05	0.020873663274814703
319	1.5	0.0001	0.020034207219583152	4.6762984098418014e-05	0.019987444235484732
319	1.5	0.0001333521432163324	0.019136318935448645	2.43214446961908e-05	0.019111997490752455
319	1.5	0.00017782794100389227	0.01826973934618554	1.2753464011006625e-05	0.01825698588217453
319	1.5	0.00023713737056616554	0.0174345791209058	6.728808277511688e-06	0.01742785031262829
319	1.5	0.00031622776601683794	0.016632104481355856	3.5670407600822596e-06	0.016628537440595774
319	1.5	0.00042169650342858224	0.01586150354698482	1.8975821960294378e-06	0.015859605964788793
319	1.5	0.0005623413251903491	0.015122114938905322	1.0119830721662019e-06	0.015121102955833157
319	1.5	0.0007498942093324559	0.014412606889831535	5.406206948122319e-07	0.014412066269136723
319	1.5	0.001	0.01373381527814486	2.891845110615694e-07	0.013733526093633798
319	1.5	0.001333521432163324	0.01308574844321673	1.548378805005772e-07	0.01308559360533623
319	1.5	0.0017782794100389228	0.012468807708612398	8.296955116145952e-08	0.012468724739061236
319	1.5	0.0023713737056616554	0.011882289304227314	4.4486151763287274e-08	0.01188224481807555
319	1.5	0.0031622776601683794	0.011326111448341968	2.3865021154213044e-08	0.011326087583320814
319	1.5	0.004216965034285823	0.010800131414006592	1.2809122396179197e-08	0.010800118604884196
319	1.5	0.005623413251903491	0.010304210409398466	6.8786578829536605e-09	0.010304203530740583
319	1.5	0.007498942093324558	0.009838550809203294	3.6961789967671698e-09	0.009838547113024298
319	1.5	0.01	0.0094032956523271	1.987543854641862e-09	0.009403293664783244
319	8.5	1e-05	0.07688749541806704	0.01769700655338096	0.05919048886468608
319	8.5	1.333521432163324e-05	0.07285149841710024	0.0180951604635465	0.054756337953553745
