#: table_doi: 10.17182/hepdata.64899.v1/t55
#: name: Table 55
#: description: The measured structure function F2(gZ) determined using the polarised HERA II data set  for Q^2 values of 500, 650, 800 and 1000 GeV^2.

#: data_file: Table55.yaml
#: keyword reactions: E+ P --> E+ X | E- P --> E- X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: Q**2 [GeV^2],500.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,1.071,0.785,-0.785,0.595,-0.595
0.032,1.059,0.671,-0.671,0.522,-0.522
0.05,0.882,0.609,-0.609,0.474,-0.474
0.08,0.199,0.525,-0.525,0.427,-0.427
0.13,-0.406,0.533,-0.533,0.443,-0.443
0.18,0.228,0.494,-0.494,0.399,-0.399
0.25,0.271,0.478,-0.478,0.378,-0.378
0.4,-,0,0,0,0

#: Q**2 [GeV^2],650.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,0.408,0.696,-0.696,0.563,-0.563
0.032,0.73,0.63,-0.63,0.501,-0.501
0.05,0.027,0.53,-0.53,0.439,-0.439
0.08,0.905,0.458,-0.458,0.39,-0.39
0.13,0.848,0.452,-0.452,0.389,-0.389
0.18,0.102,0.43,-0.43,0.361,-0.361
0.25,-0.081,0.403,-0.403,0.337,-0.337
0.4,0.16,0.297,-0.297,0.249,-0.249

#: Q**2 [GeV^2],800.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,0.345,0.608,-0.608,0.516,-0.516
0.032,0.767,0.556,-0.556,0.466,-0.466
0.05,0.098,0.494,-0.494,0.428,-0.428
0.08,0.506,0.431,-0.431,0.377,-0.377
0.13,0.007,0.426,-0.426,0.382,-0.382
0.18,0.096,0.411,-0.411,0.363,-0.363
0.25,0.634,0.343,-0.343,0.302,-0.302
0.4,0.165,0.264,-0.264,0.225,-0.225

#: Q**2 [GeV^2],1000.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,0.62,0.576,-0.576,0.509,-0.509
0.032,0.936,0.506,-0.506,0.445,-0.445
0.05,0.504,0.437,-0.437,0.377,-0.377
0.08,0.492,0.386,-0.386,0.348,-0.348
0.13,-0.446,0.38,-0.38,0.349,-0.349
0.18,0.726,0.348,-0.348,0.313,-0.313
0.25,0.058,0.319,-0.319,0.285,-0.285
0.4,0.187,0.24,-0.24,0.211,-0.211

