x,f2 (experimental),f2 (statistical experimental error),f2 (systematic experimental error),,f2 (calculated),f2 (normalized)
0.000261,1.35,0.06,0.13,0.1431782106,3.872595062,1.434294467
0.000383,1.26,0.05,0.12,0.13,3.516630264,1.302455653
0.000562,1.19,0.05,0.12,0.13,3.186674368,1.180249766
0.000825,1.08,0.04,0.11,0.1170469991,2.880772742,1.066952867
0.00133,0.96,0.05,0.13,0.1392838828,2.532035557,0.9377909469
0.00237,0.85,0.04,0.1,0.1077032961,2.153612931,0.797634419
0.00421,0.74,0.04,0.1,0.1077032961,1.820225504,0.6741575941
0.0075,0.7,0.04,0.11,0.1170469991,1.524204608,0.5645202252
0.0133,0.58,0.04,0.12,0.1264911064,1.390125278,0.5148612142
