x,f2 (experimental),f2 (statistical experimental error),f2 (systematic experimental error),,f2 (calculated),f2 (normalized)
0.000562,1.52,0.08,0.12,0.144222051,3.897583272,1.44354936
0.000825,1.17,0.07,0.08,0.1063014581,3.492729625,1.293603565
0.00133,1.03,0.05,0.08,0.09433981132,3.034960216,1.124059339
0.00237,1.03,0.05,0.08,0.09433981132,2.543476252,0.9420282415
0.00421,0.83,0.04,0.08,0.0894427191,2.115846024,0.7836466754
0.0075,0.74,0.04,0.08,0.0894427191,1.741236143,0.6449022751
0.0133,0.64,0.04,0.07,0.08062257748,1.573421918,0.5827488586
0.0237,0.51,0.05,0.08,0.09433981132,1.573421918,0.5827488586
