#: table_doi: 10.17182/hepdata.64899.v1/t54
#: name: Table 54
#: description: The measured structure function F2(gZ) determined using the polarised HERA II data set  for Q^2 values of 200, 250, 300 and 400 GeV^2.

#: data_file: Table54.yaml
#: keyword reactions: E+ P --> E+ X | E- P --> E- X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: Q**2 [GeV^2],200.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,-0.412,1.478,-1.478,0.908,-0.908
0.032,0.647,1.403,-1.403,0.873,-0.873
0.05,-1.814,1.46,-1.46,0.922,-0.922
0.08,0.547,1.323,-1.323,0.807,-0.807
0.13,-0.836,1.177,-1.177,0.766,-0.766
0.18,-1.246,1.306,-1.306,0.909,-0.909
0.4,-,0,0,0,0

#: Q**2 [GeV^2],250.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,1.373,1.241,-1.241,0.734,-0.734
0.032,1.165,1.066,-1.066,0.649,-0.649
0.05,1.275,0.948,-0.948,0.615,-0.615
0.08,-0.583,0.822,-0.822,0.561,-0.561
0.13,-1.174,0.81,-0.81,0.499,-0.499
0.18,0.087,0.899,-0.899,0.564,-0.564
0.4,-,0,0,0,0

#: Q**2 [GeV^2],300.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,0.51,1.067,-1.067,0.72,-0.72
0.032,-0.653,0.942,-0.942,0.633,-0.633
0.05,-0.429,0.869,-0.869,0.593,-0.593
0.08,-0.306,0.769,-0.769,0.532,-0.532
0.13,0.293,0.715,-0.715,0.454,-0.454
0.18,0.568,0.793,-0.793,0.49,-0.49
0.4,-0.399,0.472,-0.472,0.297,-0.297

#: Q**2 [GeV^2],400.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,1.214,0.876,-0.876,0.601,-0.601
0.032,0.095,0.743,-0.743,0.545,-0.545
0.05,-0.099,0.661,-0.661,0.498,-0.498
0.08,0.835,0.582,-0.582,0.452,-0.452
0.13,-0.265,0.528,-0.528,0.389,-0.389
0.18,-0.041,0.576,-0.576,0.403,-0.403
0.4,-0.339,0.366,-0.366,0.264,-0.264

