x,f2 (experimental),f2 (statistical experimental error),f2 (systematic experimental error),,f2 (calculated),f2 (normalized)
0.00237,1.6,0.21,0.15,0.258069758,4.496041345,1.40501292
0.00421,0.99,0.14,0.14,0.1979898987,3.600790834,1.125247136
0.0075,0.83,0.12,0.13,0.1769180601,2.841658065,0.8880181453
0.0133,0.73,0.11,0.11,0.1555634919,2.513390747,0.7854346085
